number,id,title,question,img,Gold Standard,T5_BBOX,T5,Summary 1,Summary 2,Summary 3
36,6313,Public's Views of Global Threats Facing the U.S. % saying each isa,How worried is the public about the infectious diseases?,dataset/images/6313.png,Roughly half ( 52 % ) believe the spread of infectious diseases between countries is a major threat and four - in - ten ( 40 % ) label it a minor threat .,A majority of Americans ( 52 % ) say the spread of infectious diseases is a major threat to the U.S.,roughly half ( 52 % ) believe the spread of infectious diseases between countries is a major threat and four - in - ten ( 40 % ) label it a minor threat.,Gold Standard,T5_BBOX,T5
37,7286,News Coverage vs News Interest Health care reform 66,Comment on the top news headlines based on the attention they gathered from public?,dataset/images/7286.png,Two - thirds of Americans ( 66 % ) say they followed the health care debate more closely than any other major news story .,About six - in - ten ( 66 % ) say they followed news about health care reform more closely than any other story last week.,"Two - thirds of Americans ( 66 % ) say they followed the health care debate more closely than any other major news story last week. Another 5 % say they followed news about vandalism and threats directed at Democrats who voted for the legislation most closely, according to the latest News Interest Index survey conducted by the Pew Research Center.",T5_BBOX,Gold Standard,T5
38,6729,Obama in 2nd Term Job approval by party,Describe the trend in Obama's support among Independents.,dataset/images/6729.png,"Since December 2012 , Obama has lost the most ground among independents : Currently , only 32 % of independents approve of his job performance . In December , 53 % approved .","Currently, 42 % of independents approve of Obama ’s job performance, compared with 32 % of Republicans and 32 % of Democrats.","Obama has lost the most ground among independents : Currently, only 32 % of independents approve of his job performance while 61 % disapprove. Obama ’s current rating among independents is only slightly higher than Bush ’s in November 2005 ( 29 % approved ). Like Bush, Obama retains broad support among members of his own party, though the share of Democrats who give him a positive jobs rating has fallen 10 points over the past year ( from 88 % to 78 % ). Obama ’s job rating among",T5,Gold Standard,T5_BBOX
39,1233,Share of adults living in middle-income households is unchanged since 2011,Describe the changes in American income level from 1971 to 2011?,dataset/images/1233.png,"From 1971 to 2011 , the share of adults in the middle class fell by 10 percentage points . But that shift was not all down the economic ladder . The increase in the share of adults who are upper income was greater than the increase in the share who are lower income over that period , a sign of economic progress overall .","From 1971 to 2011, the share of adults living in middle - income households has remained unchanged. In 2011, 59 % of adults lived in middle - income households, up from 29 % in 1971.",About half ( 52 % ) of American adults lived in middle - class households in 2016. This is virtually unchanged from the 51 % who were middle class in 2011.,T5_BBOX,T5,Gold Standard
40,1938,Brazilian public is skeptical about political future Political instability will inthe next five years,What opinion do Brazilians have about political instability in the next five years?,dataset/images/1938.png,"About four - in - ten Brazilians ( 42 % ) believe the political instability will get worse in the next five years , 29 % say the problem will stay the same and roughly a quarter ( 24 % ) believe the instability will get better .",About four - in - ten Brazilians ( 42 % ) say that political instability will get worse over the next five years.,"About four - in - ten Brazilians ( 42 % ) believe the political instability will get worse in the next five years, 29 % say the problem will stay the same and roughly a quarter ( 24 % ) believe the instability will get better.",T5_BBOX,T5,Gold Standard
41,6557,"Figure 3 Computer Ownership, and Internet Use, 2012 (% ofall adults saying they...)",Compare the computer ownership among Latinos and whites.,dataset/images/6557.png,Latinos lag whites when it comes to owning a desktop or laptop computer or accessing the internet .,"In 2012, 72 % of Latinos said they owned a desktop or laptop computer, compared with 78 % of whites.","The analysis also finds that when it comes to using the internet,1 the digital divide between Latinos and whites is smaller than what it had been just a few years ago. Between 2009 and 2012, the share of Latino adults who say they go online at least occasionally increased 14 percentage points, rising from 64 % to 78%.2 Among whites, internet use rates also increased, but only by half as much — from 80 % in 2009 to 87 % in 2012. While Latinos use mobile and social networking technologies at rates similar to those of",T5,T5_BBOX,Gold Standard
42,4903,Divide emerging in how partisans see Xi Jinping,Write details about divide emerging in how partisans see Xi JinPing?,dataset/images/4903.png,"While Republicans and Democrats were equally likely to lack confidence in the Chinese leader in 2018 and 2019 , there is a now a partisan gap : Republicans are more likely than Democrats to say they have no confidence at all in Xi ( 61 % vs. 51 % ) .","About six - in - ten Republicans and Republican leaners ( 61 % ) say they have no confidence at all in Xi to do the right thing regarding world affairs, compared with just 22 % of Democrats and Democratic leaners.",Republicans are more likely than Democrats to say they have little or no faith in Xi ( 82 % vs. 75 % ). Republicans are also more likely to say they have no confidence at all in Xi ( 61 % vs. 51 % ).,T5_BBOX,T5,Gold Standard
43,281,Post-election partisan shift in views of risks of increased presidential power,What is the opinion of the partisans about increasing presidential power?,dataset/images/281.png,"The sense that increasing presidential power would be “ too risky ” has grown among Democrats since August , when Barack Obama was still president : While a 66 % majority said giving presidents greater powers would be too risky in August , nearly nine - in - ten ( 87 % ) now say this . Conversely , while 82 % of Republicans expressed concern about increasing presidential powers relative to the other branches of government in August , a smaller majority ( 65 % ) say this today .","87 % of Republicans and Republican - leaning independents say it would be too risky to give presidents more power to deal directly with the country ’s problems, compared with 65 % of Democrats and Democratic leaners.","While a 66 % majority said giving presidents greater powers would be too risky in August, nearly nine - in - ten ( 87 % ) now say this. Conversely, while 82 % of Republicans expressed concern about increasing presidential powers relative to the other branches of government in August, a smaller majority ( 65 % ) say this today.",T5_BBOX,T5,Gold Standard
44,3361,"Different Questions, Slightly Different",What is the public opinion about men's preferences over co-workers?,dataset/images/3361.png,about three - in - ten ( 32 % ) say men generally prefer to work with men while only 7 % say they favor women co - workers .   An even larger share of women—40%–of women say men prefer men as co - workers while 9 % say men would rather work with women,"59 % say men prefer having other men or women as co - workers, while 21 % say it does n’t matter.","Among male respondents, about three - in - ten ( 32 % ) say men generally prefer to work with men while only 7 % say they favor women co - workers. An even larger share of women—40%–of women say men prefer men as co - workers while 9 % say men would rather work with women.",T5_BBOX,T5,Gold Standard
45,7480,Hig hest Economic Pessimism ofBush s Tenure,What is the public's expectation about the economy?,dataset/images/7480.png,"By two - to - one ( 37%-18 % ) , more believe the economy will be in worse shape a year from now than believe things will improve . In August 2004 , just 9 % said they expected the economy to worsen over the succeeding 12 months . That number doubled to 18 % in January , and has doubled again ( to 37 % ) .","A year from now, about six - in - ten ( 61 % ) say they expect the nation ’s economy to be better off a year from now.","By two - to - one ( 37%-18 % ), more believe the economy will be in worse shape a year from now than believe things will improve. In August 2004, just 9 % said they expected the economy to worsen over the succeeding 12 months. That number doubled to 18 % in January, and has doubled again ( to 37 % ).",T5,T5_BBOX,Gold Standard
46,3463,"Inflation, Crime, Health Care and Corruption Top Concerns",What do people think about major problems of the country?,dataset/images/3463.png,"about rising prices : 85 % say this is a major problem in the country . And at least two - thirds also say a lack of employment opportunities and the gap between the rich and the poor are very big problems . In addition to economic concerns , large majorities also describe crime ( 83 % ) , health care ( 83 % ) , political corruption ( 78 % ) and poor quality schools ( 64 % ) as major problems .","83 % say rising prices are a very big problem for the country, compared with 85 % who say rising prices are a very big problem. Similarly, 83 % say rising prices are a very big problem for the country.","85 % say this is a major problem in the country. large majorities also describe crime ( 83 % ), health care ( 83 % ), political corruption ( 78 % ) and poor quality schools ( 64 % ) as major problems.",T5,T5_BBOX,Gold Standard
47,3404,Mobile Payments Popular in Africa % yes make or receive payments on their phones 68,In which country is the percentage of mobile payment use the highest in Africa?,dataset/images/3404.png,Nearly seven - in - ten Kenyans ( 68 % ) who own a cell phone say they regularly use their mobile device to make or receive payments .,"In Kenya, 68 % of mobile phone owners say they regularly make or receive payments on their phones. In Uganda, 50 % make or receive payments on their phones. In Senegal, 24 % make or receive payments on their phones. In Nigeria, 11 % make or receive payments on their phones.","Nearly seven - in - ten Kenyans ( 68 % ) who own a cell phone say they regularly use their mobile device to make or receive payments. Half in Uganda say this as well. Meanwhile, even though only 29 % of mobile owners in South Africa and 24 % in Senegal say they use their phones for monetary transactions, these are still among the highest percentages across all the countries surveyed. Only in Russia ( 24 % ) do as many cell owners use their device for such purposes. In the 18 countries surveyed",Gold Standard,T5_BBOX,T5
48,2904,One-in-five Americans have heard of the debate over the legality of home-sharing services and both users and nonusers strongly support the legality of these services; they also feel (if less strongly) that homeowners using these services should not have to pay taxes in order to use them,Discuss what home-sharing users have heard about its legality?,dataset/images/2904.png,"Home - sharing services has been the subject of much debate in cities around the country . Just 19 % of home - sharing users have heard “ a lot ” about it , while 37 % have heard “ a little . ”","About one - in - five ( 31 % ) home - sharing users have heard of the debate over whether homeowners should be able to legally rent out their homes using services like Airbnb, VRBO or HomeAway.","Among home - sharing users who are aware of the legal debate over these services, 56 % believe that these services should be legal, and that owners should not have to pay any local hotel or lodging taxes ; just 31 % believe that owners should be able to legally rent out these services but should have to pay taxes for the privilege of doing so.",Gold Standard,T5,T5_BBOX
49,7236,"No Change in Overall U.S Image, But Obama Is More Popular",How is the difference among Turkey's perception about U.S former Presidents?,dataset/images/7236.png,"While just one - third of Turks have confidence that President Obama will do the right thing in world affairs , this is a significant increase from 2008 , when only 2 % voiced confidence in then - President Bush .","Turkey ’s perceptions of U.S. presidents have changed little over the past few years. Today, a majority of Turks ( 60 % ) say they have a favorable view of the U.S., compared with just 20 % who say they are confident in the U.S. president.","While just one - third of Turks have confidence that President Obama will do the right thing in world affairs, this is a significant increase from 2008, when only 2 % voiced confidence in then - President Bush.",T5,T5_BBOX,Gold Standard
50,1134,"Nicotine, flavoring-only cartridges popular among older students who vape % ofU.S students who said they vaped the the last 30 days, 2018",Is vaping an inherent practice of College students?,dataset/images/1134.png,", vaping increased among college students from 2017 to 2018 , the most recent year for which MTF has released data for this group . In fact , the uptick in vaping among college students for nicotine ( from 6 % in 2017 to 16 % in 2018 ) and marijuana ( from 5 % to 11 % ) were among the greatest one - year increases for any substance asked about since the survey was first administered in 1975 .","Currently, 16 % of college students say they have vaped in the last 30 days, compared with 11 % who say they have vaped in the last 30 days.","In fact, the uptick in vaping among college students for nicotine ( from 6 % in 2017 to 16 % in 2018 ) and marijuana ( from 5 % to 11 % ) were among the greatest one - year increases for any substance asked about since the survey was first administered in 1975.",Gold Standard,T5_BBOX,T5
51,1956,"Within couples, women's earnings have increased steadily stover the decades relative to their husbands' % of couples where the Woman earns more Net 13%",How are women now earning comparing to their partners?,dataset/images/1956.png,"Today , 31 % of women who are married or cohabiting are contributing at least half of the couple ’s total earnings ( including 28 % who earn more than their husband or partner and 3 % who earn about the same amount ) .","Women ’s earnings have increased steadily over the past few decades. In 1980, 87 % of women earned more than their husbands, compared with 21 % of men. In 2017, 69 % of women earned more than their husbands, compared with 31 % of men.","In 1980, only 13 % of married women earned more than or about as much as their husbands. By 2000, the share had risen to 25 %. Today, 31 % of women who are married or cohabiting are contributing at least half of the couple ’s total earnings ( including 28 % who earn more than their husband or partner and 3 % who earn about the same amount ). In 69 % of married or cohabiting couples, the man earns more than the woman, though this is down from 87",Gold Standard,T5,T5_BBOX
52,1956,"Within couples, women's earnings have increased steadily stover the decades relative to their husbands' % of couples where the Woman earns more Net 13%",How are women now earning comparing to their partners?,dataset/images/1956.png,"Today , 31 % of women who are married or cohabiting are contributing at least half of the couple ’s total earnings ( including 28 % who earn more than their husband or partner and 3 % who earn about the same amount ) .","Women ’s earnings have increased steadily over the past few decades. In 1980, 87 % of women earned more than their husbands, compared with 21 % of men. In 2017, 69 % of women earned more than their husbands, compared with 31 % of men.","In 1980, only 13 % of married women earned more than or about as much as their husbands. By 2000, the share had risen to 25 %. Today, 31 % of women who are married or cohabiting are contributing at least half of the couple ’s total earnings ( including 28 % who earn more than their husband or partner and 3 % who earn about the same amount ). In 69 % of married or cohabiting couples, the man earns more than the woman, though this is down from 87",T5,Gold Standard,T5_BBOX
53,4419,Share of Americans who see the federal budget deficit as a very big problem budget has fallen since 2018 very % who say the federal budget deficit is a vvery big problem in the country today,What are trends in U.S. adults identifying the federal budget deficit a very big problem since 2018?,dataset/images/4419.png,"In a Pew Research Center survey conducted June 16 - 22 , just under half of U.S. adults ( 47 % ) called the deficit “ a very big problem ” in the country today – down from 55 % in the fall of 2018 .","Currently, 55 % of Americans say the federal budget deficit is a very big problem in the country today, down from 53 % in 2018.","In a Pew Research Center survey conducted June 16 - 22, just under half of U.S. adults ( 47 % ) called the deficit “ a very big problem ” in the country today – down from 55 % in the fall of 2018.",T5_BBOX,T5,Gold Standard
54,3463,"Inflation, Crime, Health Care and Corruption Top Concerns",What do people think about major problems of the country?,dataset/images/3463.png,"about rising prices : 85 % say this is a major problem in the country . And at least two - thirds also say a lack of employment opportunities and the gap between the rich and the poor are very big problems . In addition to economic concerns , large majorities also describe crime ( 83 % ) , health care ( 83 % ) , political corruption ( 78 % ) and poor quality schools ( 64 % ) as major problems .","83 % say rising prices are a very big problem for the country, compared with 85 % who say rising prices are a very big problem. Similarly, 83 % say rising prices are a very big problem for the country.","85 % say this is a major problem in the country. large majorities also describe crime ( 83 % ), health care ( 83 % ), political corruption ( 78 % ) and poor quality schools ( 64 % ) as major problems.",Gold Standard,T5,T5_BBOX
55,4423,U.S. Hispanic population reached nearly 61 million in 2019 In millions,Describe the population evolution of Latinos from 2010 to 2019?,dataset/images/4423.png,"The U.S. Hispanic population reached 60.6 million in 2019 , up from 50.7 million in 2010 .",The U.S. Hispanic population reached 61 million in 2019.,"The U.S. Hispanic population reached 60.6 million in 2019, up from 50.7 million in 2010. Hispanics made up 18 % of the U.S. population in 2019, up from 16 % in 2010 and just 5 % in 1970.",Gold Standard,T5,T5_BBOX
56,2532,Lack of connections is viewed as major obstacle to employment is a very importantreason why many people in our country do not havejobs,Explain what people say are the reasons of the lack of jobs?,dataset/images/2532.png,"When asked why so many people lack jobs in their country , the top reason given is that many jobs go only to people with connections .","A majority of South Africans ( 69 % ) say that many jobs only go to people with connections, while 63 % say that many jobs only go to people with connections.","When asked why so many people lack jobs in their country, the top reason given is that many jobs go only to people with connections.",T5,T5_BBOX,Gold Standard
57,6980,"Republicans Ratings Continue to Offer Republicans Lackluster Ratings Continue for the Field As a group, the Republican candidates.are...",Describe the psychedelic Republican political views,dataset/images/6980.png,"Republican voters continue to express mixed views of the party ’s presidential field . Roughly half ( 51 % ) of Republican and Republican - leaning registered voters say the candidates are excellent or good , while 44 % say they are only fair or poor","Currently, 48 % of Republican voters say the GOP field is only fair or poor, while 43 % say it is only fair or poor.","Republican voters continue to express mixed views of the party ’s presidential field. Roughly half ( 51 % ) of Republican and Republican - leaning registered voters say the candidates are excellent or good, while 44 % say they are only fair or poor.",Gold Standard,T5_BBOX,T5
58,6435,"Views of Jobs Improving, but Most Still Say ‘Difficult to Find’",Describe the opinions on the availability of job opportunities in the local area.,dataset/images/6435.png,"57 % say that jobs are difficult to find in their community , while 36 % say that there are plenty of jobs available .","About six - in - ten ( 66 % ) say plenty of jobs are available in their area, while 36 % say they are difficult to find.","When it comes to job opportunities, 57 % say that jobs are difficult to find in their community, while 36 % say that there are plenty of jobs available, according to our recent survey.",Gold Standard,T5_BBOX,T5
59,6273,Higher Obama's 2nd Term Approval George W. Rating Runs Higher than that of George W. Rating Bush,Compare Obama's and Bush's second term job ratings.,dataset/images/6273.png,"President Barack Obama ’s overall approval rating has held steady at 44 % . While Obama ’s job rating has been below 50 % for the past year , it stands eight points higher than that of his predecessor , Bush , at a comparable point eight years ago . In July 2006 , 36 % approved of Bush ’s job performance .",Obama ’s approval rating for his second term has been much higher than that of George W. Bush ’s ( 60 % approval vs. 40 % approval ). Obama ’s approval rating for his second term has been much higher than that of Bush ’s ( 30 % approval vs. 10 % approval ).,"While Obama ’s job rating has been below 50 % for the past year, it stands eight points higher than that of his predecessor, George W. Bush, at a comparable point eight years ago. In July 2006, 36 % approved of Bush ’s job performance.",T5,Gold Standard,T5_BBOX
60,5302,"Russian and American opinions of the other country's president have generally remained low for many years American confidence in Putiny Russian confidence in U.S. Presidents Bush ('o3 '88), Obama (oog '15) and Trump (17-18) to do the right thing regarding",Describe some information about Russian and American opinion of the other country's president?,dataset/images/5302.png,"Among both Americans and Russians , there is little confidence in the ability of the other nation ’s president to do the right thing regarding world affairs . Only 21 % of Americans have confidence in Russian President Vladimir Putin to do the right thing – similar to the share who had confidence in him over much of the past decade .","Russian confidence in U.S. President George W. Bush to do the right thing regarding world affairs has remained low for many years. Today, 41 % of Russians say they have confidence in U.S. President George W. Bush to do the right thing regarding world affairs.","Among both Americans and Russians, there is little confidence in the ability of the other nation ’s president to do the right thing regarding world affairs. Only 21 % of Americans have confidence in Russian President Vladimir Putin to do the right thing – similar to the share who had confidence in him over much of the past decade.",Gold Standard,T5_BBOX,T5
61,7531,Midte rm Election Poll Accuracy (Gallup & Pew election weekend LV estimates),Compare the election pre/post poll with the actual outcome?,dataset/images/7531.png,"The Gallup Organization has tracked voter preferences in House races for more than half a century , and its final midterm election polls have consistently paralleled actual election results Indeed , on average , the final Gallup Poll has been within 1.1 % of the actual vote in 1994 both the Pew and Gallup surveys found a Republican majority in the popular vote for the first time in more than 40 years , foreshadowing that year ’s GOP takeover of the House","The election pre and post polls were much more accurate than the actual outcome of the election, with a median of 60 % predicting the outcome of the election, compared with 40 % predicting the outcome of the final election.","The Gallup Organization has tracked voter preferences in House races for more than half a century, and its final midterm election polls have consistently paralleled actual election results. Indeed, on average, the final Gallup Poll has been within 1.1 % of the actual vote. Similarly, surveys by the Pew Research Center have consistently shown that the generic ballot closely tracks election results.2 For example, in 1994 both the Pew and Gallup surveys found a Republican majority in the popular vote for the first time in more than 40 years, foreshadowing that year",T5_BBOX,Gold Standard,T5
62,5610,"Number of refugees admitted each fiscal year into the U.S., in thousands, by religious affiliation",What is the trend in religious affiliation of refugees admitted to the U.S ?,dataset/images/5610.png,"Refugees with no religious affiliation were 5 % of all refugees admitted to the U.S. in fiscal 2002 . Since then , the share of refugees with no religious affiliation has decreased , amounting to less than 1 % of refugees entering the U.S. during fiscal 2017 .","The number of refugees admitted to the U.S. has risen from 1 million in 2002 to 1 million in 2017, according to a Pew Research Center analysis of data from the State Department ’s Refugee Processing Center.","In recent years, the share of refugees entering the U.S. who are affiliated with religions other than Christianity and Islam has declined. But from 2009 to 2012, between about a quarter and a third of refugees entering each year were adherents of other religions, including several thousand Hindus ( mostly from Bhutan ) and Buddhists ( mostly from Burma and Bhutan ). Refugees with no religious affiliation were 5 % of all refugees admitted to the U.S. in fiscal 2002. Since then, the share of refugees with no religious affiliation has",T5,Gold Standard,T5_BBOX
63,770,About half say Trump has not taken risks from the coronavirus seriously enough; a majority says news media have exaggerated the risks,What opinion do people have about the coronavirus period of Trump?,dataset/images/770.png,About half ( 52 % ) say either that Trump has not taken the risks seriously enough ( 23 % ) or that he has n’t taken them seriously at all ( 29 % ) ; 37 % say he ’s gotten the risks about right,About half of U.S. adults ( 52 % ) say Trump has not taken the risks seriously enough in responding to the coronavirus outbreak,"Roughly three - quarters of Republicans ( 76 % ) say the news media have exaggerated the risks of the coronavirus, including 53 % who say they have greatly exaggerated them. While Democrats are less likely than Republicans to say this, many do criticize the news media in this regard : 49 % of Democrats believe the media have exaggerated the risks of the coronavirus.",T5,T5_BBOX,Gold Standard
64,6000,General Support for TPP thing? Would STPP bea good thing for our country or a bad thing?,What is the opinion of people in different countries over TPP in their country?,dataset/images/6000.png,"Overall , 49 % of Americans say that TPP would be a good thing for their country , while 29 % think it would be a bad thing . However , support for this free trade agreement is much more robust in most other TPP nations surveyed . This includes two - thirds or more of Vietnamese ( 89 % good thing ) , Peruvians ( 70 % ) and Chileans ( 67 % ) . And at least half or more in Mexico ( 61 % ) , Japan ( 53 % ) , Australia ( 52 % ) and Canada ( 52 % ) also support the deal . In Malaysia , only 38 % support the agreement .","About eight - in - ten people in Vietnam ( 89 % ), Peru ( 70 % ), Chile ( 67 % ), Mexico ( 61 % ), Australia ( 30 % ), Canada ( 31 % ), the U.S. ( 49 % ) and Malaysia ( 38 % ) say TPP is a bad thing for their country.","Overall, 49 % of Americans say that TPP would be a good thing for their country, while 29 % think it would be a bad thing.",Gold Standard,T5_BBOX,T5
65,2309,"Solid Liberals, Core Conservatives highly focused on control of Congress in 2018 which party wins control of",How important is Congress control among parties?,dataset/images/2309.png,". More than eight - in - ten Solid Liberals ( 84 % ) say it matters a great deal to them which party wins control of Congress next year , the highest share of any typology group . Core Conservatives are next highest , at 77 % . At this point , other groups are less engaged by the struggle for partisan control of Congress . And the drop - off is particularly notable among three groups close to the middle of the typology . Fewer than half of Market Skeptic Republicans ( 44 % ) and New Era Enterprisers ( 41 % ) say it matters a great deal which party wins control of Congress ; just 44 % of Devout and Diverse say the same .","About seven - in - ten Core Conservatives ( 93 % ) say it matters a great deal to them which party wins control of Congress next year, compared with 71 % of Market Skeptics and 44 % of New Era Enterprisers.","More than eight - in - ten Solid Liberals ( 84 % ) say it matters a great deal to them which party wins control of Congress next year, the highest share of any typology group. Core Conservatives are next highest, at 77 %.",T5_BBOX,Gold Standard,T5
66,756,Germans more likely to see the U.S. as an important partner than Americans are to see Germany as one,What opinion do Americans have about the second most important foreign policy partner?,dataset/images/756.png,"Among Americans , 36 % choose the United Kingdom as the most or second - most important foreign policy partner","About six - in - ten Germans ( 60 % ) name France as their second - most important foreign policy partner, followed closely by the UK ( 36 % ), China ( 23 % ), Canada ( 20 % ), Israel ( 15 % ) and Russia ( 12 % ).","Among Americans, 36 % choose the United Kingdom as the most or second - most important foreign policy partner. Roughly two - in - ten say China ( 23 % ) and Canada ( 20 % ) are top partners, but Germany is chosen by only 13 % as the most or second - most important partner, in between Israel at 15 % and Mexico at 12 %.",T5_BBOX,T5,Gold Standard
67,2798,"More Republicans than Democrats view ISIS – as well as Iran, China, and other concerns - as ‘major threats’","what is the reason More Republicans than Democrats view ISIS – as well as Iran, China, and other concerns - as ‘major threats’?",dataset/images/2798.png,"Notably , more than nine - in - ten Republicans ( 93 % ) cite ISIS as a major threat , compared with 79 % of Democrats .",79 % of Republicans and 79 % of Democrats say ISIS is a major threat to the well - being of the U.S.,"Notably, more than nine - in - ten Republicans ( 93 % ) cite ISIS as a major threat, compared with 79 % of Democrats. Republicans also are also far more likely than Democrats to view Iran ’s nuclear program as a major threat ( 79 % vs. 52 % ).",Gold Standard,T5,T5_BBOX
68,6703,"Dysfunctional Government Most Important Problem Facing America Today Monthly trend, January 2008 October 2013 Economy in general Government/Ongress) Politicians","What are the most important problems that America is facing today, according to the Gallup report?",dataset/images/6703.png,33 % of Americans cite dissatisfaction with government and lawmakers as the nation ’s top issue . That figure surpasses the economy ( 19 % ) and unemployment ( 12 % ) .,The Gallup survey finds that the economy is the most important problem facing America today. About six - in - ten Americans ( 58 % ) name the economy as the most important problem facing America today.,"But now, as the White House and Congress find themselves in yet another showdown over the budget and debt ceiling, Gallup reports that 33 % of Americans now cite dissatisfaction with government and lawmakers as the nation ’s top issue. That figure not only surpasses the economy ( 19 % ) and unemployment ( 12 % ), but is the highest such percentage dating back to 1939 for what Gallup describes as “ dysfunctional government. ” Gallup said that the economy and jobs as the nation ’s top problem had already been declining this",Gold Standard,T5,T5_BBOX
69,5302,"Russian and American opinions of the other country's president have generally remained low for many years American confidence in Putiny Russian confidence in U.S. Presidents Bush ('o3 '88), Obama (oog '15) and Trump (17-18) to do the right thing regarding",Describe some information about Russian and American opinion of the other country's president?,dataset/images/5302.png,"Among both Americans and Russians , there is little confidence in the ability of the other nation ’s president to do the right thing regarding world affairs . Only 21 % of Americans have confidence in Russian President Vladimir Putin to do the right thing – similar to the share who had confidence in him over much of the past decade .","Russian confidence in U.S. President George W. Bush to do the right thing regarding world affairs has remained low for many years. Today, 41 % of Russians say they have confidence in U.S. President George W. Bush to do the right thing regarding world affairs.","Among both Americans and Russians, there is little confidence in the ability of the other nation ’s president to do the right thing regarding world affairs. Only 21 % of Americans have confidence in Russian President Vladimir Putin to do the right thing – similar to the share who had confidence in him over much of the past decade.",T5,T5_BBOX,Gold Standard
70,5068,Wide partisan gap in views of seriousness of government shutdown % who say the government shutdown is a serious problem for the country,What are the partisan views about the seriousness of government shutdown?,dataset/images/5068.png,Nearly eight - in - ten Democrats and Democratic - leaning independents ( 79 % ) say the shutdown is a “ very serious problem ” ; fewer than half as many Republicans and Republican leaners ( 35 % ) say the same,"About eight - in - ten Republicans and Republican leaners ( 58 % ) say the government shutdown is a very or somewhat serious problem for the country, compared with 22 % of Democrats and Democratic leaners.",Nearly eight - in - ten Democrats and Democratic - leaning independents ( 79 % ) say the shutdown is a “ very serious problem ” ; fewer than half as many Republicans and Republican leaners ( 35 % ) say the same.,T5_BBOX,T5,Gold Standard
71,94,Is Monitoring Allied Leaders’ Phones Acceptable?,What is the Americans' view on monitoring the phones of allied leaders?,dataset/images/94.png,"a 56 % majority of Americans say it is unacceptable for the U.S. to monitor the phones of allied leaders , while 36 % say the practice is acceptable .",About six - in - ten Americans ( 66 % ) say that monitoring the phones of allied leaders is acceptable.,"a 56 % majority of Americans say it is unacceptable for the U.S. to monitor the phones of allied leaders, while 36 % say the practice is acceptable.",Gold Standard,T5_BBOX,T5
72,3821,"What Entertainment) Public Figures, If Any, First Come to Mind Who Are Gay or Lesbian? Percent of general public respondents naming... Ellen De Generes Jason Collins",What is the reference of the LGBT public when asked about a LGBT artist or public figure?,dataset/images/3821.png,Jason Collins was the second - most frequently mentioned gay or lesbian public figure . 38 % said they could n’t name any gay or lesbian entertainers or public figures .,"When asked about a gay or lesbian artist or public figure, 32 % of the general public names Ellen DeGeneres, Jason Collins, Elton John, Rosie O’Donnell, Barney Frank, Anderson Cooper, Rock Hudson.",almost four - in - ten Americans ( 38 % ) said they could n’t name any gay or lesbian entertainers or public figures.,T5,Gold Standard,T5_BBOX
73,6557,"Figure 3 Computer Ownership, and Internet Use, 2012 (% ofall adults saying they...)",Compare the computer ownership among Latinos and whites.,dataset/images/6557.png,Latinos lag whites when it comes to owning a desktop or laptop computer or accessing the internet .,"In 2012, 72 % of Latinos said they owned a desktop or laptop computer, compared with 78 % of whites.","The analysis also finds that when it comes to using the internet,1 the digital divide between Latinos and whites is smaller than what it had been just a few years ago. Between 2009 and 2012, the share of Latino adults who say they go online at least occasionally increased 14 percentage points, rising from 64 % to 78%.2 Among whites, internet use rates also increased, but only by half as much — from 80 % in 2009 to 87 % in 2012. While Latinos use mobile and social networking technologies at rates similar to those of",Gold Standard,T5_BBOX,T5
74,6000,General Support for TPP thing? Would STPP bea good thing for our country or a bad thing?,What is the opinion of people in different countries over TPP in their country?,dataset/images/6000.png,"Overall , 49 % of Americans say that TPP would be a good thing for their country , while 29 % think it would be a bad thing . However , support for this free trade agreement is much more robust in most other TPP nations surveyed . This includes two - thirds or more of Vietnamese ( 89 % good thing ) , Peruvians ( 70 % ) and Chileans ( 67 % ) . And at least half or more in Mexico ( 61 % ) , Japan ( 53 % ) , Australia ( 52 % ) and Canada ( 52 % ) also support the deal . In Malaysia , only 38 % support the agreement .","About eight - in - ten people in Vietnam ( 89 % ), Peru ( 70 % ), Chile ( 67 % ), Mexico ( 61 % ), Australia ( 30 % ), Canada ( 31 % ), the U.S. ( 49 % ) and Malaysia ( 38 % ) say TPP is a bad thing for their country.","Overall, 49 % of Americans say that TPP would be a good thing for their country, while 29 % think it would be a bad thing.",T5_BBOX,Gold Standard,T5
75,6177,Few say current military effort in Iraq and Syria is going well % who say USS military Syria campaign againstIslamic militants say in Iraq military and Syria campaign lisgoing againstIslamic,Describe how the public feels about the U.S. military effort in Iraq and Syria in December 2015.,dataset/images/6177.png,About six - in - ten ( 58 % ) say the U.S. effort against Islamic militants in Iraq and Syria is going either not too well or not at all well ; 35 % say the campaign is going either very or fairly well .,"About six - in - ten Americans ( 58 % ) say the U.S. military effort in Iraq and Syria is going very or fairly well, while 35 % say it is not too or not at all well.",About six - in - ten ( 58 % ) say the U.S. effort against Islamic militants in Iraq and Syria is going either not too well ( 39 % ) or not at all well ( 19 % ) ; 35 % say the campaign is going either very ( 7 % ) or fairly ( 28 % ) well.,T5,Gold Standard,T5_BBOX
