number,id,title,question,img,Gold Standard,VLT5_S,VLT5,Summary 1,Summary 2,Summary 3
109,4423,U.S. Hispanic population reached nearly 61 million in 2019 In millions,Describe the population evolution of Latinos from 2010 to 2019?,dataset/images/4423.png,"The U.S. Hispanic population reached 60.6 million in 2019 , up from 50.7 million in 2010 .","The U.S. Hispanic population reached 60.6 million in 2019, up from 50.7 million in 2010. Hispanics made up 18 % of the U.S. population in 2019, up from 16 % in 2010 and just 5 % in 1970.","The U.S. Hispanic population reached a record 60.6 million in 2019, and up from 53.7 million in 2010, according to newly released U.S. Census Bureau population estimates.",VLT5,VLT5_S,Gold Standard
110,2820,Democrats on a possible Trump presidency: Most say he would be 'terrible' % of Democratic and president Democratic -leaning registered voters who say each,What are opinions about seven GOP candidates?,dataset/images/2820.png,Fully 64 % of Democratic and Democratic - leaning registered voters say Trump would make a terrible president . That is by far the highest percentage among the seven GOP candidates in the survey .,Fully 64 % of Democratic and Democratic - leaning registered voters say Trump would make a terrible president. That is by far the highest percentage among the seven GOP candidates in the survey.,"About seven - in - ten GOP voters ( 64 % ) say a possible Trump presidency would make a good or terrible president, while roughly as many ( 27 % ) say it would make a good president. Just 18 % say a possible Trump presidency would make a terrible or terrible president.",Gold Standard,VLT5_S,VLT5
111,3821,"What Entertainment) Public Figures, If Any, First Come to Mind Who Are Gay or Lesbian? Percent of general public respondents naming... Ellen De Generes Jason Collins",What is the reference of the LGBT public when asked about a LGBT artist or public figure?,dataset/images/3821.png,Jason Collins was the second - most frequently mentioned gay or lesbian public figure . 38 % said they could n’t name any gay or lesbian entertainers or public figures .,"Jason Collins became the first active male professional athlete in a major North American team sport to come out publicly as gay. ( The LGBT survey was conducted before Collins ’ announcement. ) It ’s worth noting, though, that almost four - in - ten Americans ( 38 % ) said they could n’t name any gay or lesbian entertainers or public figures.","Gay, lesbian or bisexual men made up a third of respondents. When asked about a LGBT artist or public figure, about one - in - three ( 32 % ) name someone who is Gay or Lesbian.",VLT5,Gold Standard,VLT5_S
112,1956,"Within couples, women's earnings have increased steadily stover the decades relative to their husbands' % of couples where the Woman earns more Net 13%",How are women now earning comparing to their partners?,dataset/images/1956.png,"Today , 31 % of women who are married or cohabiting are contributing at least half of the couple ’s total earnings ( including 28 % who earn more than their husband or partner and 3 % who earn about the same amount ) .","In 1980, only 13 % of married women earned more than or about as much as their husbands. By 2000, the share had risen to 25 %. Today, 31 % of women who are married or cohabiting are contributing at least half of the couple ’s total earnings ( including 28 % who earn more than their husband or partner and 3 % who earn about the same amount ). In 69 % of married or cohabiting couples, the man earns more than the woman, though this is down from 87 % of married couples in 1980.","In 2017, for example, the share of women earning more than their husbands grew from 25 % to 43 %, and among those who marrying couples where the two men were still living, earnings continued to rise progressively over time. Among cohabiting couples, women ’s annual earnings have been steadily higher than their husbands, from 3 % to 31 %.",VLT5,Gold Standard,VLT5_S
113,6000,General Support for TPP thing? Would STPP bea good thing for our country or a bad thing?,What is the opinion of people in different countries over TPP in their country?,dataset/images/6000.png,"Overall , 49 % of Americans say that TPP would be a good thing for their country , while 29 % think it would be a bad thing . However , support for this free trade agreement is much more robust in most other TPP nations surveyed . This includes two - thirds or more of Vietnamese ( 89 % good thing ) , Peruvians ( 70 % ) and Chileans ( 67 % ) . And at least half or more in Mexico ( 61 % ) , Japan ( 53 % ) , Australia ( 52 % ) and Canada ( 52 % ) also support the deal . In Malaysia , only 38 % support the agreement .","Overall, 49 % of Americans say that TPP would be a good thing for their country, while 29 % think it would be a bad thing. When the survey was administered in April and May, the debate over giving Obama fast - track authority — which would enhance his ability to negotiate TPP without fear of it being modified by Congress — had not yet gained the full attention of Americans. Consequently, 12 % volunteered that they had not heard enough about TPP to make a judgment, and a further 9 % did not answer the question. In general, Americans see free trade agreements as good for the country. However, support for this free trade agreement is much more robust in most other TPP nations surveyed. This includes two - thirds or more of Vietnamese ( 89 % good thing ), Peruvians ( 70 % ) and Chileans ( 67 % ). And at least half or more in Mexico ( 61 % ), Japan ( 53 % ), Australia ( 52 % ) and Canada ( 52 % ) also support the deal. In Malaysia, only 38 % support the agreement, but that is due in part to 31 % volunteering that they have not heard enough.","About half in Vietnam ( 89 % ), Peru ( 70 % ), Chile ( 67 % ) and Mexico ( 61 % ) all said they had a good view of the deal. Opinions were more mixed in the U.S. ( 49 % bad, 38 % good ).",VLT5_S,VLT5,Gold Standard
114,6557,"Figure 3 Computer Ownership, and Internet Use, 2012 (% ofall adults saying they...)",Compare the computer ownership among Latinos and whites.,dataset/images/6557.png,Latinos lag whites when it comes to owning a desktop or laptop computer or accessing the internet .,"Between 2009 and 2012, the share of Latino adults who say they go online at least occasionally increased 14 percentage points, rising from 64 % to 78%.2 Among whites, internet use rates also increased, but only by half as much — from 80 % in 2009 to 87 % in 2012.","Among Latinos, 70 % say they own a desktop or laptop computer, compared with 72 % of whites.",Gold Standard,VLT5_S,VLT5
115,6004,"Changing Reactions to a Gay Child Ifyou had a child who told you he or she was gay or lesbian, what would your reaction be?",How has the public's reactions to a gay child changed?,dataset/images/6004.png,"Nine - in - ten American adults ( 89 % ) said they would be upset if this happened , and just 9 % said they would not be . But views of homosexuality have shifted over time , and today nearly six - in - ten ( 57 % ) say they would not be upset if they had a child come out as gay or lesbian.","nine - in - ten American adults ( 89 % ) said they would be upset if this happened, and just 9 % said they would not be.","reactions to a gay child are changing. When a child told them to be gay, 79 % of the public said they would react in a way that made them feel like they were gay or lesbian, and by the time that she was, the proportion that said they would not react was up 9 percentage points.",Gold Standard,VLT5,VLT5_S
116,2186,"Older adults, conservative Republicans most likely to say U.S. is top nation Statement that bestdescribes opinion of the US (%, U.S sta nds a bove all other countries in the world US one of greatest countries along with others There are other co untries that a re better than U.S",Describe the difference in views of U.S. global standing by race and ethnicity?,dataset/images/2186.png,"There is little difference in views of the nation ’s global standing by race and ethnicity : About three - in - ten whites ( 30 % ) and blacks ( 31 % ) and about a quarter of Hispanics ( 26 % ) view the U.S. as above all other nations . The majority view across each of these groups is that the U.S. is a great country , on par with some other countries .","Among Democrats, just 13 % of liberals say the U.S. stands above other nations, compared with 23 % of moderate and conservative Democrats. And nearly three - in - ten liberal Democrats ( 29 % ) say there are other countries better than the U.S. ; only 13 % of conservative and moderate Democrats say the same. Adults 65 and older are the most likely to say the U.S. stands above all other nations ( 44 % ). By contrast, just 12 % of those younger than 30 say the same, the lowest share in any age category. There is little difference in views of the nation ’s global standing by race and ethnicity : About three - in - ten whites ( 30 % ) and blacks ( 31 % ) and about a quarter of Hispanics ( 26 % ) view the U.S. as above all other nations.","About half of white adults ( 49 % ) say the U.S. is one of the greatest countries in the world, while just 17 % of Hispanics and 17 % of blacks say there are other countries that are better than the U.S.",VLT5,Gold Standard,VLT5_S
117,1384,Majority of U.S. teens worry a shooting could happen at their school about the possibility ofa shooting % of teens saying they are shooting happening at their school,Describe the worries of teens on school shootings?,dataset/images/1384.png,"A majority of U.S. teens ages 13 to 17 ( 57 % ) fear a shooting could happen at their school , and most parents of teens share their concern . Nonwhite teens express greater concern over the possibility of a shooting at their school than white teens , and girls are more likely than boys to cite such concern .","A majority of U.S. teens ages 13 to 17 ( 57 % ) fear a shooting could happen at their school, and most parents of teens share their concern. Nonwhite teens express greater concern over the possibility of a shooting at their school than white teens, and girls are more likely than boys to cite such concern. Most parents also share the concern of a shooting at their children ’s school. More than eight - in - ten teens and adults say preventing people with mental illnesses from purchasing guns and improving mental health screening and treatment would be effective at preventing school shootings.","Overall, 57 % of teens say they are worried about the possibility of a shooting happening at their school, with one - in - four saying they are very worried. About three - in - ten ( 29 % ) say they are not too worried about this, and just 13 % say they are not at all worried. Nonwhite teens express a higher level of concern than their white peers. Roughly two - thirds ( 64 % ) of nonwhite teens, including 73 % of Hispanics, say they are at least somewhat worried about this, compared with 51 % of white teens.",VLT5_S,Gold Standard,VLT5
118,3510,"Blacks More Likely than Whites to Say Brown's Shooting Raises Racial Issues Thinking about the police shooting of an African American teen in Ferguson, Missouri, percent saying important This case raises Race is attention getting important issues more attention getting DK",What is the opinion of blacks and whites about Brown's shooting and racial issues ?,dataset/images/3510.png,"By about four - to - one ( 80 % to 18 % ) , African Americans say the shooting in Ferguson raises important issues about race that merit discussion By contrast , whites , by 47 % to 37 % , say the issue of race is getting more attention than it deserves .","By about four - to - one ( 80 % to 18 % ), African Americans say the shooting in Ferguson raises important issues about race that merit discussion. By contrast, whites, by 47 % to 37 %, say the issue of race is getting more attention than it deserves.","About four - in - ten blacks ( 37 % ) say the police shooting of an African American teen in Ferguson, Missouri raises race awareness. By comparison, 37 % of whites say this story raises race.",VLT5,VLT5_S,Gold Standard
119,1823,"Most U.S. Muslims say Trump is unfriendly toward Muslim Americans % of U.S Muslims who say the president is 'U.S Mus slims Conce rned About Their Place in Society, but Continue to Believe in",How did Muslim Americans feel during the Trump government?,dataset/images/1823.png,"About three - quarters of Muslim Americans ( 74 % ) say President Donald Trump is unfriendly toward them . Just 19 % say they approve of the job Trump is doing as president , and among Muslims who reported voting last November , only 8 % say they cast their ballots for him","About three - quarters of Muslim Americans ( 74 % ) say President Donald Trump is unfriendly toward them, according to a new Pew Research Center survey.","About three - quarters of Muslim Americans ( 74 % ) say President Trump is unfriendly toward them, according to a new Pew Research Center survey.",VLT5,VLT5_S,Gold Standard
120,3745,Youth from 2008 Engagement Down Sharply from 2008 Engagement Given Quite a Lotof Thought to Election Following Campaign News Very Closely Definitely Plan to Vote This Year,How is the situation on engagement of young voters in the 2012 election?,dataset/images/3745.png,The share of voters younger than 30 who are following campaign news very closely is 18 % .,"The share of voters younger than 30 who are following campaign news very closely is roughly half what it was at this point four years ago ( 18 %, down from 35 % ). Just 63 % of young registered voters say they definitely plan to vote this year, down from 72 % four years ago.","Currently, 72 % of 18- to 29 - year - olds say they have given quite a lot of thought to the election, down somewhat from 89 % in August 2008. Voters 65 and older are more likely than those 50 - 64 to say they have given quite a lot of thought to the election in September 2008 ; 75 % say they have followed this news very closely.",VLT5,Gold Standard,VLT5_S
121,94,Is Monitoring Allied Leaders’ Phones Acceptable?,What is the Americans' view on monitoring the phones of allied leaders?,dataset/images/94.png,"a 56 % majority of Americans say it is unacceptable for the U.S. to monitor the phones of allied leaders , while 36 % say the practice is acceptable .","a 56 % majority of Americans say it is unacceptable for the U.S. to monitor the phones of allied leaders, while 36 % say the practice is acceptable.",All three - in - ten Americans now say that monitoring the phones of allied leaders is acceptable. A majority ( 56 % ) says this is an unacceptable practice.,VLT5_S,VLT5,Gold Standard
122,5610,"Number of refugees admitted each fiscal year into the U.S., in thousands, by religious affiliation",What is the trend in religious affiliation of refugees admitted to the U.S ?,dataset/images/5610.png,"Refugees with no religious affiliation were 5 % of all refugees admitted to the U.S. in fiscal 2002 . Since then , the share of refugees with no religious affiliation has decreased , amounting to less than 1 % of refugees entering the U.S. during fiscal 2017 .","far more Christian than Muslim refugees have been admitted into the U.S. since fiscal 2002. Nearly 425,000 Christian refugees entered the U.S. over that period, accounting for 46 % of all refugee arrivals. At the same time, about a third ( 33 % ) of all refugees admitted to the U.S. between 2002 and 2017, or slightly more than 302,000, were Muslim.","The vast majority of all refugees entering the U.S. are Christian. Of the thousands of refugees admitted to the U.S. in fiscal year 2017, Christians made up a slim majority ( 53 % ) of the nearly 14,000 refugees admitted to the U.S. in 2002.",VLT5,VLT5_S,Gold Standard
123,2282,"About a quarter say tax rates should be lowered on corporations, household incomes above $250,000",What are Americans opinions about tax rates on corporations?,dataset/images/2282.png,"About a quarter of U.S. adults ( 24 % ) say tax rates on corporations and large businesses should be lowered , while roughly twice as many ( 52 % ) say they should be raised . Another 21 % say corporate tax rates should be kept the same as they are now .","About a quarter of U.S. adults ( 24 % ) say tax rates on corporations and large businesses should be lowered, while roughly twice as many ( 52 % ) say they should be raised. Another 21 % say corporate tax rates should be kept the same as they are now.","About a quarter of Americans ( 24 % ) say tax rates on corporations and large businesses should be lowered, while roughly twice as many ( 52 % ) say they should be raised. Another 21 % say corporate tax rates should be kept the same as they are now.",VLT5_S,Gold Standard,VLT5
124,4421,Half of immigrants in U.S. are English proficient as of 2018 % offoreign-born population ages 5 and older who are English proficient,Comment on English proficiency among immigrants aged 5 and older in 2018?,dataset/images/4421.png,"Among immigrants ages 5 and older in 2018 , half ( 53 % ) are proficient English speakers .","Among immigrants ages 5 and older in 2018, half ( 53 % ) are proficient English speakers – either speaking English very well ( 37 % ) or only speaking English at home ( 17 % ).","As of 2018, about half of immigrants ages 5 and older in the U.S. speak English proficiently, up from 47 % in 1980.",VLT5,VLT5_S,Gold Standard
125,3463,"Inflation, Crime, Health Care and Corruption Top Concerns",What do people think about major problems of the country?,dataset/images/3463.png,"about rising prices : 85 % say this is a major problem in the country . And at least two - thirds also say a lack of employment opportunities and the gap between the rich and the poor are very big problems . In addition to economic concerns , large majorities also describe crime ( 83 % ) , health care ( 83 % ) , political corruption ( 78 % ) and poor quality schools ( 64 % ) as major problems .","The survey also finds widespread concern about rising prices : 85 % say this is a major problem in the country. And at least two - thirds also say a lack of employment opportunities and the gap between the rich and the poor are very big problems. In addition to economic concerns, large majorities also describe crime ( 83 % ), health care ( 83 % ), political corruption ( 78 % ) and poor quality schools ( 64 % ) as major problems.","Among the issues tested, rising prices, crime and health care are all mentioned as very big problems. Lack of job opportunities ( 72 % saying it is a very big problem ) is also a major concern. Only 7 % see corruption as a very big problem.",VLT5,Gold Standard,VLT5_S
126,1701,"Number of refugees admitted to the U.S. falls in 2018 Refugees admitted to the U.S., by fiscal year 200, 000",What happened to the number of refugees who entered in the U.S. in 2018?,dataset/images/1701.png,"Earlier this year , a Pew Research Center analysis of State Department data found a sharp decline in the number of refugees who have entered the U.S. so far in fiscal year 2018 compared with prior years .","Earlier this year, a Pew Research Center analysis of State Department data found a sharp decline in the number of refugees who have entered the U.S. so far in fiscal year 2018 compared with prior years.","The number of refugees who have entered the U.S. in fiscal year 2018 fell to a low of 300,000 in fiscal year, down from 50, 000 in the previous fiscal year, according to a Pew Research Center analysis of U.S. State Department data.",Gold Standard,VLT5_S,VLT5
127,1956,"Within couples, women's earnings have increased steadily stover the decades relative to their husbands' % of couples where the Woman earns more Net 13%",How are women now earning comparing to their partners?,dataset/images/1956.png,"Today , 31 % of women who are married or cohabiting are contributing at least half of the couple ’s total earnings ( including 28 % who earn more than their husband or partner and 3 % who earn about the same amount ) .","In 1980, only 13 % of married women earned more than or about as much as their husbands. By 2000, the share had risen to 25 %. Today, 31 % of women who are married or cohabiting are contributing at least half of the couple ’s total earnings ( including 28 % who earn more than their husband or partner and 3 % who earn about the same amount ). In 69 % of married or cohabiting couples, the man earns more than the woman, though this is down from 87 % of married couples in 1980.","In 2017, for example, the share of women earning more than their husbands grew from 25 % to 43 %, and among those who marrying couples where the two men were still living, earnings continued to rise progressively over time. Among cohabiting couples, women ’s annual earnings have been steadily higher than their husbands, from 3 % to 31 %.",Gold Standard,VLT5_S,VLT5
128,350,High favorable ratings for various groups in Jordan and Lebanon; splits arise in other nations,What is the favourable ratings of Philippines given by Christians and Muslims ?,dataset/images/350.png,"in Christian - majority Philippines , favorable views of Christians were nearly universal ( 97 % ) while just 57 % said the same of Muslims in their country .","in Jordan, where about 97 % of the population practices Islam, about nine - in - ten adults or more rated both Muslims and Christians favorably. Similar positivity appeared in Lebanon, with roughly three - quarters or more giving positive reviews to Christian, Sunni and Shiite religious groups.","In Jordan, Christians are given a very favorable rating ( 89 % favorable ), as are Christians ( 85 % ) and Muslims ( 76 % ). However, among Muslims, more than nine - in - ten have a favorable ( 97 % ) than an unfavorable ( 41 % ) opinion of the Islamic Republic. In Tunisia, only 26 % have a favorable opinion of Muslims, and about seven - in - ten ( 69 % ) say they have a positive view of Christians.",Gold Standard,VLT5,VLT5_S
129,3510,"Blacks More Likely than Whites to Say Brown's Shooting Raises Racial Issues Thinking about the police shooting of an African American teen in Ferguson, Missouri, percent saying important This case raises Race is attention getting important issues more attention getting DK",What is the opinion of blacks and whites about Brown's shooting and racial issues ?,dataset/images/3510.png,"By about four - to - one ( 80 % to 18 % ) , African Americans say the shooting in Ferguson raises important issues about race that merit discussion By contrast , whites , by 47 % to 37 % , say the issue of race is getting more attention than it deserves .","By about four - to - one ( 80 % to 18 % ), African Americans say the shooting in Ferguson raises important issues about race that merit discussion. By contrast, whites, by 47 % to 37 %, say the issue of race is getting more attention than it deserves.","About four - in - ten blacks ( 37 % ) say the police shooting of an African American teen in Ferguson, Missouri raises race awareness. By comparison, 37 % of whites say this story raises race.",Gold Standard,VLT5_S,VLT5
130,5795,What would a future with radical life extension look like? % of U.S adults who agree/ disagree with each statement Everybody should be able,What are Americans opinions regarding who should be able to receive radical life extension treatments?,dataset/images/5795.png,"Two - thirds of those polled about radical life extension thought the option would only be available to the wealthy At least as many in the human enhancement survey shared this concern , saying that moving forward with the three emerging technologies outlined in the survey – brain implants , synthetic blood and gene editing for babies – would increase inequality because they would only be available to those who are well - off .",Two - thirds of those polled about radical life extension thought the option would only be available to the wealthy Two - thirds of American adults also said scientists would offer life extension technologies before their impact was fully understood.,"Some 79 % of Americans agree with the statement “ everybody should be able to get radical life extension treatments, ” while about two - thirds ( 66 % ) disagree with each statement",Gold Standard,VLT5,VLT5_S
131,2431,"Liberal Dems, conservative Reps more likely to get one-sided news from family and friends online % of online news consumers who say the snews they get from family and friends online representsjust one side but conservative Republicans are most likely to think that's OK of those online from news consumers side, who say they mostly only see news from one side, % of who say that's OK",What is conservative Republicans opinions about seeing one sided news?,dataset/images/2431.png,"About half ( 51 % ) of conservative Republicans who said they see mostly one - sided news say this is OK – a larger share than among all other political groups , including liberal Democrats ( 34 % ) .",about half ( 51 % ) of conservative Republicans who said they see mostly one - sided news say this is OK,conservative Republicans are more likely than moderate and liberal Republicans to think the news they get from family and friends represents just one side ( 61 % vs. 33 % ).,Gold Standard,VLT5,VLT5_S
132,1701,"Number of refugees admitted to the U.S. falls in 2018 Refugees admitted to the U.S., by fiscal year 200, 000",What happened to the number of refugees who entered in the U.S. in 2018?,dataset/images/1701.png,"Earlier this year , a Pew Research Center analysis of State Department data found a sharp decline in the number of refugees who have entered the U.S. so far in fiscal year 2018 compared with prior years .","Earlier this year, a Pew Research Center analysis of State Department data found a sharp decline in the number of refugees who have entered the U.S. so far in fiscal year 2018 compared with prior years.","The number of refugees who have entered the U.S. in fiscal year 2018 fell to a low of 300,000 in fiscal year, down from 50, 000 in the previous fiscal year, according to a Pew Research Center analysis of U.S. State Department data.",VLT5,VLT5_S,Gold Standard
133,2431,"Liberal Dems, conservative Reps more likely to get one-sided news from family and friends online % of online news consumers who say the snews they get from family and friends online representsjust one side but conservative Republicans are most likely to think that's OK of those online from news consumers side, who say they mostly only see news from one side, % of who say that's OK",What is conservative Republicans opinions about seeing one sided news?,dataset/images/2431.png,"About half ( 51 % ) of conservative Republicans who said they see mostly one - sided news say this is OK – a larger share than among all other political groups , including liberal Democrats ( 34 % ) .",about half ( 51 % ) of conservative Republicans who said they see mostly one - sided news say this is OK,conservative Republicans are more likely than moderate and liberal Republicans to think the news they get from family and friends represents just one side ( 61 % vs. 33 % ).,VLT5,Gold Standard,VLT5_S
134,1909,"Jews, Hindus, Muslims most likely to Jews, live experience in Hindus, countries where their groups likely experience harassment % of each religious group's population living in countries where harassment population of their group occurred in 2015",What is the distribution of harassment victims among religious groups?,dataset/images/1909.png,"For instance , because of their dense concentration in a small number of countries , 99 % of Jews and Hindus lived in nations where members of their groups were harassed . And despite being one of the most geographically dispersed religious groups , 97 % of Muslims lived in countries where harassment of Muslims occurred in 2015 . ( By comparison , 78 % of Christians lived in places where Christians were harassed . )","smaller religious groups may not have been harassed in as many countries simply because they are not present in as many countries. For instance, because of their dense concentration in a small number of countries, 99 % of Jews and Hindus lived in nations where members of their groups were harassed. And despite being one of the most geographically dispersed religious groups, 97 % of Muslims lived in countries where harassment of Muslims occurred in 2015. By comparison, 78 % of Christians lived in places where Christians were harassed. )","The Center ’s analysis also finds that Hindus, Muslims and Folk Religions are the most likely to say their groups have been harassed in 2015. Indeed, nearly all Jews ( 99 % ) and Hindus ( 97 % ) have lived in these countries in 2015. Moreover, most Buddhists ( 72 % ) and Buddhists ( 78 % ) have lived in these countries.",Gold Standard,VLT5_S,VLT5
135,6177,Few say current military effort in Iraq and Syria is going well % who say USS military Syria campaign againstIslamic militants say in Iraq military and Syria campaign lisgoing againstIslamic,Describe how the public feels about the U.S. military effort in Iraq and Syria in December 2015.,dataset/images/6177.png,About six - in - ten ( 58 % ) say the U.S. effort against Islamic militants in Iraq and Syria is going either not too well or not at all well ; 35 % say the campaign is going either very or fairly well .,About six - in - ten ( 58 % ) say the U.S. effort against Islamic militants in Iraq and Syria is going either not too well ( 39 % ) or not at all well ( 19 % ) ; 35 % say the campaign is going either very ( 7 % ) or fairly ( 28 % ) well.,"Just 35 % of Americans say the current military effort in Iraq and Syria is going very or fairly well. The share saying the military effort is going not too well or not at all well is little changed from December 2015, when 58 % said the campaign was going very or fairly well.",VLT5_S,VLT5,Gold Standard
136,1006,Smartphone owners' preferred way of accessing the internet varies substantially by age,Describe the growth of people who mostly use the internet on a smartphone?,dataset/images/1006.png,"Some 46 % of smartphone owners say when using the internet , they mostly do so on their phone .","For those who own a smartphone, these devices now outpace more traditional means of accessing the web. Some 46 % of smartphone owners say when using the internet, they mostly do so on their phone. This represents a double - digit increase from 2013, when 34 % of these users said this. At the same time, the share of smartphone users who say a desktop, laptop or tablet computer is their primary device for going online has fallen from 53 % in 2013 to 30 % today. Roughly one - quarter of smartphone users say they equally use a cellphone or a desktop, laptop or tablet computer when going online, up from 12 % six years prior.","Younger smartphone owners are more likely than older adults to mostly use the internet on a smartphone. Some 46 % of smartphone owners ages 18 to 29 say they mostly use the internet on a desktop, laptop or tablet computer, compared with 28 % of those 50 to 64.",VLT5_S,Gold Standard,VLT5
137,5652,Netanyahu viewed extremely poorly Views of Israeli Prime Minister Benjamin.Netanyahu,What is the opinion of Lebanese and Jordanians about Israeli Prime Minister Benjamin Netanyahu ?,dataset/images/5652.png,"Israeli Prime Minister Benjamin Netanyahu receives extremely negative ratings from nations in the Middle East and North Africa . Only 7 % in both Tunisia and Turkey , 1 % in Jordan and 0 % in Lebanon have a favorable view of Netanyahu . And the negative opinion in Jordan and Lebanon is particularly intense ; 95 % of Jordanians and 97 % of Lebanese say they have a very unfavorable view",95 % of Jordanians and 97 % of Lebanese say they have a very unfavorable view.,Both Lebanese and Jordanians had extremely negative views of the Israeli prime minister. Nearly nine - in - ten ( 91 % ) Jordanians had an unfavorable opinion of Netanyahu.,Gold Standard,VLT5,VLT5_S
138,2186,"Older adults, conservative Republicans most likely to say U.S. is top nation Statement that bestdescribes opinion of the US (%, U.S sta nds a bove all other countries in the world US one of greatest countries along with others There are other co untries that a re better than U.S",Describe the difference in views of U.S. global standing by race and ethnicity?,dataset/images/2186.png,"There is little difference in views of the nation ’s global standing by race and ethnicity : About three - in - ten whites ( 30 % ) and blacks ( 31 % ) and about a quarter of Hispanics ( 26 % ) view the U.S. as above all other nations . The majority view across each of these groups is that the U.S. is a great country , on par with some other countries .","Among Democrats, just 13 % of liberals say the U.S. stands above other nations, compared with 23 % of moderate and conservative Democrats. And nearly three - in - ten liberal Democrats ( 29 % ) say there are other countries better than the U.S. ; only 13 % of conservative and moderate Democrats say the same. Adults 65 and older are the most likely to say the U.S. stands above all other nations ( 44 % ). By contrast, just 12 % of those younger than 30 say the same, the lowest share in any age category. There is little difference in views of the nation ’s global standing by race and ethnicity : About three - in - ten whites ( 30 % ) and blacks ( 31 % ) and about a quarter of Hispanics ( 26 % ) view the U.S. as above all other nations.","About half of white adults ( 49 % ) say the U.S. is one of the greatest countries in the world, while just 17 % of Hispanics and 17 % of blacks say there are other countries that are better than the U.S.",VLT5_S,VLT5,Gold Standard
139,6435,"Views of Jobs Improving, but Most Still Say ‘Difficult to Find’",Describe the opinions on the availability of job opportunities in the local area.,dataset/images/6435.png,"57 % say that jobs are difficult to find in their community , while 36 % say that there are plenty of jobs available .","When it comes to job opportunities, 57 % say that jobs are difficult to find in their community, while 36 % say that there are plenty of jobs available, according to our recent survey.","About six - in - ten ( 66 % ) say there are plenty of jobs available in their community, while just 24 % say that jobs are difficult to find.",VLT5,VLT5_S,Gold Standard
140,614,Many see U.S. as their country’s top ally,What do Americans think about Israelis as the country they can most rely on as a reliable ally in the future?,dataset/images/614.png,"In Israel , 82 % name the U.S. as the country they can most rely on as a dependable ally in the future","In Israel, 82 % name the U.S. as the country they can most rely on as a dependable ally in the future.","the United States stands out to many around the world as the country their own nation can rely on most, according to a new Pew Research Center survey.",VLT5,Gold Standard,VLT5_S
141,1201,Majority of Americans say higher education is going in wrong direction,What do the majority of Americans say about higher education?,dataset/images/1201.png,"About six - in - ten Americans ( 61 % ) say the higher education system in the United States is going in the wrong direction , according to a new Pew Research Center survey .",About six - in - ten Americans ( 61 % ) say the higher education system in the United States is going in the wrong direction,A majority of Americans ( 61 % ) say the higher education system in the U.S. is going in the wrong direction,VLT5,VLT5_S,Gold Standard
142,5696,Support for same-sex marriage holds Support steady starter 2015 Supreme Court ruling % who allowing gays and lesbians to marry legally,What is the trend among Americans about supporting same-sex marriages since 2006 ?,dataset/images/5696.png,"Now , just over half of Americans ( 55 % ) say they favor allowing gays and lesbians to marry legally , while 37 % remain opposed , according to Pew Research Center ’s March poll . A decade ago , the balance of opinion was reversed : 55 % were opposed , while 35 % were in favor .","Now, just over half of Americans ( 55 % ) say they favor allowing gays and lesbians to marry legally, while 37 % remain opposed, according to Pew Research Center ’s March poll. A decade ago, the balance of opinion was reversed : 55 % were opposed, while 35 % were in favor.","Same - sex marriage has been on the rise in the U.S. since 2006. Roughly half of Americans ( 55 % ) now favor allowing gays and lesbians to marry legally, little changed from a year ago ( 39 % ).",VLT5_S,VLT5,Gold Standard
143,1874,"Merkel gets higher ratings globally than Xi, Putin or Trump Confidence in to do the rightthing regarding world affairs",What opinion do the publics have about worldwide national leaders during the Trump government?,dataset/images/1874.png,"Angela Merkel is the only world leader included in the survey who receives more positive than negative reviews . Across the 37 nations polled , a median of 42 % express confidence in her , while 31 % say they lack confidence . Ratings for Chinese President Xi Jinping and Russian President Vladimir Putin are mostly negative , and class='chrome-extension-mutihighlight chrome-extension-mutihighlight-style-6'>Trump receives even more unfavorable assessments than both of them . class='chrome-extension-mutihighlight chrome-extension-mutihighlight-style-6'>Trump receives even more unfavorable assessments than both of","Trump gets more negative ratings globally than Merkel, Xi or Putin. German Chancellor Angela Merkel is the only world leader included in the survey who receives more positive than negative reviews. Across the 37 nations polled, a median of 42 % express confidence in her, while 31 % say they lack confidence.","Globally, a median of 42 % voice confidence in Merkel to do the right thing when it comes to Trump.",VLT5_S,Gold Standard,VLT5
144,2763,Recent activity flags have both false positives and false negatives,What are opinions about the activity flags among cell phone numbers ?,dataset/images/2763.png,"Half of the interviews in that study were conducted on cellphones and half on landlines . 15 % of flagged - inactive cellphone numbers were found to be working and residential ( false negatives ) , and one - in - ten flagged - active numbers were found to be non - working or non - residential ( false positives ) . With the Targus flag , both error rates were higher .","15 % of flagged - inactive cellphone numbers were found to be working and residential ( false negatives ), and one - in - ten flagged - active numbers were found to be non - working or non - residential ( false positives ).",Two - thirds of cellphone numbers based on dialing have either been false positive ( 15 % ) or active ( 11 % ) flags. Another 23 % have been false negatives.,Gold Standard,VLT5_S,VLT5
