number,id,title,question,img,Gold Standard,BART,T5,Summary 1,Summary 2
81,3745,Youth from 2008 Engagement Down Sharply from 2008 Engagement Given Quite a Lotof Thought to Election Following Campaign News Very Closely Definitely Plan to Vote This Year,How is the situation on engagement of young voters in the 2012 election?,dataset/images/3745.png,The share of voters younger than 30 who are following campaign news very closely is 18 % .,Young voters are significantly less engaged in this year ’s election than at a comparable point in 2008 and now lag far behind older voters.,"Young voters are significantly less engaged in this year ’s election than at a comparable point in 2008 and now lag far behind older voters in interest in the campaign and intention to vote. The share of voters younger than 30 who are following campaign news very closely is roughly half what it was at this point four years ago ( 18 %, down from 35 % )",BART,T5
82,1938,Brazilian public is skeptical about political future Political instability will inthe next five years,What opinion do Brazilians have about political instability in the next five years?,dataset/images/1938.png,"About four - in - ten Brazilians ( 42 % ) believe the political instability will get worse in the next five years , 29 % say the problem will stay the same and roughly a quarter ( 24 % ) believe the instability will get better .",Only about a quarter of Brazilians believe that political instability will get better.,Only about a quarter of Brazilians believe that political instability will get better.,BART,T5
83,3821,"What Entertainment) Public Figures, If Any, First Come to Mind Who Are Gay or Lesbian? Percent of general public respondents naming... Ellen De Generes Jason Collins",What is the reference of the LGBT public when asked about a LGBT artist or public figure?,dataset/images/3821.png,Jason Collins was the second - most frequently mentioned gay or lesbian public figure . 38 % said they could n’t name any gay or lesbian entertainers or public figures .,"It ’s worth noting, though, that almost four - in - ten Americans ( 38 % ) said they could n’t name any gay or lesbian entertainers or public figures, including 61 % of people age 65 and older.",almost four - in - ten Americans ( 38 % ) said they could n’t name any gay or lesbian entertainers or public figures.,BART,T5
84,4726,National Priorities in Pakistan,Describe the problems facing Pakistanis?,dataset/images/4726.png,"When Pakistanis are asked about the top problems facing their country , rising prices , electricity shortages , a lack of job opportunities , and crime top the list . Nine - in - ten or more name these as very big problems facing their nation . Half or more of Pakistanis rate 11 of the 16 issues included on the survey as very big problems .","When Pakistanis are asked about the top problems facing their country, rising prices, electricity shortages, a lack of job opportunities, and crime top the list","When Pakistanis are asked about the top problems facing their country, rising prices, electricity shortages, a lack of job opportunities, and crime top the list.",BART,T5
85,7443,Bush Approval Varying in a Narrow Range,Explain the Bush's job approval ratings over time?,dataset/images/7443.png,"President Bush ’s job approval rating reached its 2004 peak , at 58 % , in early January . Since February , Bush ’s ratings have fluctuated between 43 % and 48 % . Bush ’s current standing ( 48 % approve , 43 % disapprove ) is somewhat higher than the 43 % rating he received in early April , , and his 44 % mark in May .","President Bush ’s job approval rating reached its 2004 peak, at 58 %, in early January. Since February, Bush's ratings have fluctuated between 43 % and 48 %.",President Bush ’s job approval rating has fluctuated between 43 % and 48 %.,T5,Gold Standard
86,6273,Higher Obama's 2nd Term Approval George W. Rating Runs Higher than that of George W. Rating Bush,Compare Obama's and Bush's second term job ratings.,dataset/images/6273.png,"President Barack Obama ’s overall approval rating has held steady at 44 % . While Obama ’s job rating has been below 50 % for the past year , it stands eight points higher than that of his predecessor , Bush , at a comparable point eight years ago . In July 2006 , 36 % approved of Bush ’s job performance .","A new Pew Research Center survey finds that President Barack Obama ’s overall approval rating has held steady at 44 %, even as he receives low marks for his handling of the surge of undocumented child immigrants at the U.S. border.",A new Pew Research Center survey finds that President Barack Obama ’s overall approval rating has held steady at 44 %.,Gold Standard,T5
87,7531,Midte rm Election Poll Accuracy (Gallup & Pew election weekend LV estimates),Compare the election pre/post poll with the actual outcome?,dataset/images/7531.png,"The Gallup Organization has tracked voter preferences in House races for more than half a century , and its final midterm election polls have consistently paralleled actual election results Indeed , on average , the final Gallup Poll has been within 1.1 % of the actual vote in 1994 both the Pew and Gallup surveys found a Republican majority in the popular vote for the first time in more than 40 years , foreshadowing that year ’s GOP takeover of the House",the final Gallup Poll has been within 1.1 % of the actual vote.,the final Gallup Poll has been within 1.1 % of the actual vote.,Gold Standard,BART
88,941,Overall views of tax law little changed; fewer Republicans ‘strongly approve’,How do Republicans see tax law?,dataset/images/941.png,"About seven - in - ten Republicans ( 71 % ) approve of the tax law , including 43 % who strongly approve . Early last year , about the same share of Republicans approved of the tax law ( 75 % ) , but a majority ( 57 % ) strongly approved","About seven - in - ten Republicans ( 71 % ) approve of the tax law, including 43 % who strongly approve","About seven - in - ten Republicans ( 71 % ) approve of the tax law, including 43 % who strongly approve.",BART,T5
89,1913,"In April, most Republican defectors strongly disapproved of Trump % who ofthe way Donald Trump is handling his job as President Stro ingly Not strongly Not strongly Strongly Among Dem/Lean Dem in Dec 2015",What is the distribution of Republicans who approve Trump's job performance?,dataset/images/1913.png,84 % of those who consistently identified with or leaned toward the Republican Party approved of Trump ’s job performance – with 66 % approving strongly .,"In April 2017, 84 % of those who consistently identified with or leaned toward the Republican Party approved of Trump ’s job performance – with 66 % approving strongly.",84 % of those who consistently identified with or leaned toward the Republican Party approved of Trump ’s job performance – with 66 % approving strongly.,T5,BART
90,3463,"Inflation, Crime, Health Care and Corruption Top Concerns",What do people think about major problems of the country?,dataset/images/3463.png,"about rising prices : 85 % say this is a major problem in the country . And at least two - thirds also say a lack of employment opportunities and the gap between the rich and the poor are very big problems . In addition to economic concerns , large majorities also describe crime ( 83 % ) , health care ( 83 % ) , political corruption ( 78 % ) and poor quality schools ( 64 % ) as major problems .",The survey also finds widespread concern about rising prices : 85 % say this is a major problem in the country.,The survey finds widespread concern about rising prices : 85 % say this is a major problem in the country. And at least two - thirds also say a lack of employment opportunities and the gap between the rich and the poor are very big problems.,T5,BART
91,3361,"Different Questions, Slightly Different",What is the public opinion about men's preferences over co-workers?,dataset/images/3361.png,about three - in - ten ( 32 % ) say men generally prefer to work with men while only 7 % say they favor women co - workers .   An even larger share of women—40%–of women say men prefer men as co - workers while 9 % say men would rather work with women,"Among male respondents, about three - in - ten ( 32 % ) say men generally prefer to work with men while only 7 % say they favor women co - workers.","Among male respondents, about three - in - ten ( 32 % ) say men generally prefer to work with men while only 7 % say they favor women co - workers.",Gold Standard,BART
92,2679,Bipartisan willingness to use force to defend U.S. allies in conflict with China,What are views of Democrats about using force to defend an Asian ally?,dataset/images/2679.png,"by a 52%-39 % margin , Democrats favor using force to defend an Asian ally .","By a 52%-39 % margin, Democrats also favor using force to defend an Asian ally.","By a 52%-39 % margin, Democrats also favor using force to defend an Asian ally.",BART,Gold Standard
93,350,High favorable ratings for various groups in Jordan and Lebanon; splits arise in other nations,What is the favourable ratings of Philippines given by Christians and Muslims ?,dataset/images/350.png,"in Christian - majority Philippines , favorable views of Christians were nearly universal ( 97 % ) while just 57 % said the same of Muslims in their country .","In Jordan, where about 97 % of the population practices Islam, about nine - in - ten adults or more rated both Muslims and Christians favorably. Similar positivity appeared in Lebanon, with roughly three - quarters or more giving positive reviews to Christian, Sunni and Shiite religious groups.","In Christian - majority Philippines, favorable views of Christians were nearly universal ( 97 % ) while just 57 % said the same of Muslims in their country.",T5,Gold Standard
94,2532,Lack of connections is viewed as major obstacle to employment is a very importantreason why many people in our country do not havejobs,Explain what people say are the reasons of the lack of jobs?,dataset/images/2532.png,"when asked why so many people lack jobs in their country , the top reason given is that many jobs go only to people with connections .","When asked why so many people lack jobs in their country, the top reason given is that many jobs go only to people with connections.","When asked why so many people lack jobs in their country, the top reason given is that many jobs go only to people with connections.",T5,BART
95,6950,News the Public is Hearing About IAA lot,How much the defunct satellite crash news spread among public and describe about it?,dataset/images/6950.png,About three - in - ten Americans ( 31 % ) say they heard a lot last week about the defunct satellite that scientists expected to crash into the earth this past weekend . Another 40 % say they heard a little about this . Nearly three - in - ten ( 28 % ) heard nothing at all about the satellite .,"Nearly three - in - ten ( 28 % ) heard nothing at all about the satellite, which broke up and crashed into the South Pacific.",About three - in - ten Americans ( 31 % ) say they heard a lot last week about the defunct satellite that scientists expected to crash into the earth this past weekend. Another 40 % hear a little about this.,BART,T5
96,5118,"Since 2015, Republicans' views of the impact of colleges have turned much more negative % who say colleges and universities have a effect on the way things are going in the country",Compare partisans opinions about the effect of colleges in the country.,dataset/images/5118.png,"In 2017 , just 36 % of Republicans and Republican leaners said colleges and universities have a positive effect on the way things are going in the country , an 18 - percentage - point decline from two years prior . By contrast , 72 % of Democrats and Democratic leaners said colleges and universities have a positive effect , which was little changed from prior years .","In 2017, just 36 % of Republicans and Republican leaners said colleges and universities have a positive effect on the way things are going in the country, an 18 - percentage - point decline from two years prior. By contrast, 72 % of Democrats and Democratic leaners (","In 2017, just 36 % of Republicans and Republican leaners said colleges and universities have a positive effect on the way things are going in the country.",Gold Standard,BART
97,0,Information Gathering,Compare the proportion of dial-up users and broadband users who get their news on the internet.,dataset/images/0.png,activities .   Two in five ( 41 % ) of broadband users get news on the Internet on a typical day compared with 35 % of experienced users,Two in five ( 41 % ) of broadband users get news on the Internet on a typical day compared with 35 % of experienced dial - up users who want broadband.,Two in five ( 41 % ) of broadband users get news on the Internet on a typical day compared with 35 % of experienced dial - up users who want broadband.,Gold Standard,T5
98,1532,About six-in-ten women say the country hasn't gone far enough when it comes to gender equality % saying the country when it comes to giving women equalrights with mmen,Compare partisans difference of opinion about the effort to have gender equality.,dataset/images/1532.png,"About three - quarters ( 74 % ) of women who are Democrats or Democratic - leaning independents say the country has n’t gone far enough on gender equality , compared with just a third ( 33 % ) of women who are Republican or Republican leaners . Among Democrats , women with a college degree are more likely than less - educated women to say the country has n’t gone far enough on gender equality","About six - in - ten women ( 57 % ) hold this view, compared with just 13 % of men.","About six - in - ten women ( 57 % ) hold this view, compared with 42 % of men.",Gold Standard,T5
99,2957,Some in GOP say Trump does not reflect views of average Republicans,What is the opinion of Republicans about agreeing with Trump on various issues ?,dataset/images/2957.png,62 % of Republicans say average Republicans in the country generally agree with Trump on most issues . three - in - ten say that average Republicans do not agree with Trump ’s positions on issues .,"Overall, 62 % of Republicans say average Republicans in the country generally agree with Trump on most issues.","Overall, 62 % of Republicans say average Republicans in the country generally agree with Trump on most issues.",T5,BART
100,770,About half say Trump has not taken risks from the coronavirus seriously enough; a majority says news media have exaggerated the risks,What opinion do people have about the coronavirus period of Trump?,dataset/images/770.png,About half ( 52 % ) say either that Trump has not taken the risks seriously enough ( 23 % ) or that he has n’t taken them seriously at all ( 29 % ) ; 37 % say he ’s gotten the risks about right,"In responding to the coronavirus outbreak, a majority of Americans ( 77 % ) say they have taken the risks seriously enough.",About half ( 52 % ) say either that Trump has not taken the risks seriously enough ( 23 % ) or that he has n’t taken them seriously at all ( 29 % ) ; 37 % say he ’s gotten the risks about right,Gold Standard,BART
101,5865,"Three quarters of Facebook users and half of Instagram users muse each site daily Among the users of each social networking site, % who use these sites",Explain how much Instagram users access the platform.,dataset/images/5865.png,"Instagram and Twitter occupy the middle tier of social media sites in terms of the share of users who log in daily . Roughly half ( 51 % ) of Instagram users access the platform on a daily basis , with 35 % saying they do so several times a day","Facebook remains the most popular social media platform, with its users visiting the site more regularly than users of other social media sites. Roughly three - quarters ( 76 % ) of Facebook users report that they visit the site daily ( 55 % visit several times a day, and 22 % visit about once per day )","Roughly half ( 51 % ) of Instagram users access the platform on a daily basis. And 42 % of Twitter users indicate that they are daily visitors, with 23 % saying they visit more than once a day.",Gold Standard,T5
102,1134,"Nicotine, flavoring-only cartridges popular among older students who vape % ofU.S students who said they vaped the the last 30 days, 2018",Is vaping an inherent practice of College students?,dataset/images/1134.png,", vaping increased among college students from 2017 to 2018 , the most recent year for which MTF has released data for this group . In fact , the uptick in vaping among college students for nicotine ( from 6 % in 2017 to 16 % in 2018 ) and marijuana ( from 5 % to 11 % ) were among the greatest one - year increases for any substance asked about since the survey was first administered in 1975 .","In fact, the uptick in vaping among college students for nicotine ( from 6 % in 2017 to 16 % in 2018 ) and marijuana ( from 5 % to 11 % ) were among the greatest one - year increases for any substance asked about since the survey was first administered in 1975.","In fact, the uptick in vaping among college students for nicotine ( from 6 % in 2017 to 16 % in 2018 ) and marijuana ( from 5 % to 11 % ) were among the greatest one - year increases.",BART,Gold Standard
103,1605,Wide partisan gap in views of impact of Russian efforts to influence election % who say Russian refforts to influence the 2016 election benefited campaign,What are the opinions about Russian influence on the 2016 elections?,dataset/images/1605.png,Roughly equal shares say that Russian efforts likely benefited Trump ’s campaign ( 43 % ) or neither of the campaigns ( 48 % ) – with sharp divisions by party . Just 4 % say Russian efforts benefited Hillary Clinton ’s campaign,Roughly equal shares say that Russian efforts likely benefited Trump ’s campaign ( 43 % ) or neither of the campaigns ( 48 % ),Roughly equal shares say that Russian efforts likely benefited Trump ’s campaign ( 43 % ) or neither of the campaigns ( 48 % ).,Gold Standard,BART
104,2309,"Solid Liberals, Core Conservatives highly focused on control of Congress in 2018 which party wins control of",How important is Congress control among parties?,dataset/images/2309.png,". More than eight - in - ten Solid Liberals ( 84 % ) say it matters a great deal to them which party wins control of Congress next year , the highest share of any typology group . Core Conservatives are next highest , at 77 % . At this point , other groups are less engaged by the struggle for partisan control of Congress . And the drop - off is particularly notable among three groups close to the middle of the typology . fewer than half of Market Skeptic Republicans ( 44 % ) and New Era Enterprisers ( 41 % ) say it matters a great deal which party wins control of Congress ; just 44 % of Devout and Diverse say the same .","More than eight - in - ten Solid Liberals ( 84 % ) say it matters a great deal to them which party wins control of Congress next year. Core Conservatives are next highest, at 77 %.","More than eight - in - ten Solid Liberals ( 84 % ) say it matters a great deal to them which party wins control of Congress next year, the highest share of any typology group Core Conservatives are next highest, at 77 %.",BART,Gold Standard
105,2671,"Older Republicans are particularly likely to say fathers shouldn't be alle to take paternity leave % able saying fathers should paid NOT unpaid, be able to take leave, paid adoption or unpaid, following birth or paid adoption unpaid, of child Ages 18-29 30-49 50-64 65+",What are differences in partisan views among different age groups when it comes to thinking men have no responsibility for their kids?,dataset/images/2671.png,"Older Republicans offer considerably different views than their younger counterparts . Four - in - ten Republicans ages 65 or older say fathers should n’t be able to take leave from work following the birth or adoption of a child , compared with 20 % of Republicans ages 50 to 64 , 10 % of those 30 to 49 , and 14 % of those 18 to 29 . Age differences are relatively small among Democrats .","Older Republicans offer considerably different views than their younger counterparts. Four - in - ten Republicans ages 65 or older say fathers should n’t be able to take leave from work following the birth or adoption of a child, compared with 20 % of Republicans ages 50 to 64, 10 % of those 30 to 49. Age differences are relatively small among Democrats.",Older Republicans offer considerably different views than their younger counterparts. Four - in - ten Republicans ages 65 or older say fathers should n’t be able to take leave from work following the birth or adoption of a child. Age differences are relatively small among Democrats.,Gold Standard,BART
106,1913,"In April, most Republican defectors strongly disapproved of Trump % who ofthe way Donald Trump is handling his job as President Stro ingly Not strongly Not strongly Strongly Among Dem/Lean Dem in Dec 2015",What is the distribution of Republicans who approve Trump's job performance?,dataset/images/1913.png,84 % of those who consistently identified with or leaned toward the Republican Party approved of Trump ’s job performance – with 66 % approving strongly .,"In April 2017, 84 % of those who consistently identified with or leaned toward the Republican Party approved of Trump ’s job performance – with 66 % approving strongly.",84 % of those who consistently identified with or leaned toward the Republican Party approved of Trump ’s job performance – with 66 % approving strongly.,Gold Standard,BART
107,1956,"Within couples, women's earnings have increased steadily stover the decades relative to their husbands' % of couples where the Woman earns more Net 13%",How are women now earning comparing to their partners?,dataset/images/1956.png,"Today , 31 % of women who are married or cohabiting are contributing at least half of the couple ’s total earnings ( including 28 % who earn more than their husband or partner and 3 % who earn about the same amount ) .","In 1980, only 13 % of married women earned more than or about as much as their husbands. By 2000, the share had risen to 25 %.","At the same time, income dynamics among couples have shifted. In 1980, only 13 % of married women earned more than or about as much as their husbands. By 2000, the share had risen to 25 %. Today, 31 % of women who are married or cohabiting are contributing at least half of the couple ’s total earnings ( including 28 % who earn more than their husband or partner.",BART,Gold Standard
108,1963,"Puzzle and strategy games are among the most popular types of video games % saying they typically play each typeof game, among adults who play video games often or sometimes",How do Americans prefer different types of games?,dataset/images/1963.png,strategy and puzzle games are the most popular .,"Adventure, shooter, role - playing, team sport or racing and simulation games are all somewhat less commonly played, with about half of video game players or fewer saying they typically play these types of games.","Adventure, shooter, role - playing, team sport or racing and simulation games are all somewhat less commonly played, with about half of video game players or fewer saying they typically play these types of games.",T5,BART
109,2957,Some in GOP say Trump does not reflect views of average Republicans,What is the opinion of Republicans about agreeing with Trump on various issues ?,dataset/images/2957.png,62 % of Republicans say average Republicans in the country generally agree with Trump on most issues . three - in - ten say that average Republicans do not agree with Trump ’s positions on issues .,"Overall, 62 % of Republicans say average Republicans in the country generally agree with Trump on most issues.","Overall, 62 % of Republicans say average Republicans in the country generally agree with Trump on most issues.",Gold Standard,T5
110,4461,Satisfaction with National Conditi ons,Compare the national satisfaction of different nations?,dataset/images/4461.png,"More than seven - in - ten Chinese citizens ( 72 % ) express satisfaction with their national condition , while fewer than one - in - five ( 19 % ) are dissatisfied . On this score , China far outstrips India , where only 41 % say they are content with national conditions . And in China , the level of satisfaction is more than three times higher than in Russia , where only 23 % are pleased with their country ’s direction .","Most strikingly, China heads the list of countries that are, on balance, satisfied with the way things are going at home. More than seven - in - ten Chinese citizens ( 72 % ) express satisfaction with their national condition.","Most strikingly, China heads the list of countries that are, on balance, satisfied with the way things are going at home. More than seven - in - ten Chinese citizens ( 72 % ) express satisfaction with their national condition. These figures represent a sharp improvement from 2002, when only 48 % said they were satisfied with their country while 33 % were not. On this score, China far outstrips India, where only 41 % say they are content with national conditions.",BART,T5
111,3781,"Steps the govemment has inta ken since 9/11 have To prevent attacks like the one in Boston, there is.",What is the public opinion on the government's role in preventing terrorist attacks like the one in Boston?,dataset/images/3781.png,"49 % say there is more the government can do to prevent such attacks , but nearly as many ( 45 % ) say there is not much more that can be done .","The national survey by the Pew Research Center, conducted April 18 - 21 among 1,002 adults, finds that the public is evenly divided over whether there is more the government can do to prevent attacks like the one in Boston : 49 % say there is More the government Can do to preventing such attacks, but nearly as many ( 45 % ) say there has not much more that can be done. The steps the government has taken since 9/11 are generally seen as having made the country safer. Six - in - ten ( 60 % )","The national survey by the Pew Research Center, conducted April 18 - 21 among 1,002 adults, finds that the public is evenly divided over whether there is more the government can do to prevent attacks like the one in Boston",BART,Gold Standard
112,7286,News Coverage vs News Interest Health care reform 66,Comment on the top news headlines based on the attention they gathered from public?,dataset/images/7286.png,Two - thirds of Americans ( 66 % ) say they followed the health care debate more closely than any other major news story .,Two - thirds of Americans ( 66 % ) say they followed the health care debate more closely than any other major news story last week. Another 5 % says they followed news about vandalism and threats directed at Democrats who voted for the legislation most closely.,Two - thirds of Americans ( 66 % ) say they followed the health care debate more closely than any other major news story last week.,Gold Standard,BART
113,6835,Student enrollment at majority-minority public schools,Describe the increase in minorities in majority-minority schools.,dataset/images/6835.png,"The share of black , Hispanic and Asian students enrolled in majority - minority schools also increased during this time — for Hispanics , from 73 % to 79 % , for example .","the share of white students enrolled in majority - minority schools has nearly doubled over the past two decades, from 8.4 % in 1990 to 15.9 % in 2010.","the share of black, Hispanic and Asian students enrolled in majority - minority schools also increased during this time — for Hispanics, from 73 % to 79 %, for example.",Gold Standard,BART
114,3928,How Audiences Rate Press Coverage Week of February 19,What is people's opinion on the press when it comes to coverage of Iraq?,dataset/images/3928.png,"The press receives lower ratings for its coverage of Iraq from those who were following that story closely – 13 % rate the coverage excellent , 37 % say it ’s been good .","The press receives lower ratings for its coverage of Iraq from those who were following that story closely – 13 % rate the coverage excellent, 37 % say it ’s been good.","The press receives lower ratings for its coverage of Iraq from those who were following that story closely – 13 % rate the coverage excellent, 37 % say it ’s been good.",T5,BART
115,4421,Half of immigrants in U.S. are English proficient as of 2018 % offoreign-born population ages 5 and older who are English proficient,Comment on English proficiency among immigrants aged 5 and older in 2018?,dataset/images/4421.png,"Among immigrants ages 5 and older in 2018 , half ( 53 % ) are proficient English speakers .","Among immigrants ages 5 and older in 2018, half ( 53 % ) are proficient English speakers.","Among immigrants ages 5 and older in 2018, half ( 53 % ) are proficient English speakers.",BART,T5
116,756,Germans more likely to see the U.S. as an important partner than Americans are to see Germany as one,What opinion do Americans have about the second most important foreign policy partner?,dataset/images/756.png,"Among Americans , 36 % choose the United Kingdom as the most or second - most important foreign policy partner","Among Americans, 36 % choose the United Kingdom as the most important foreign policy partner. Roughly two - in - ten say China ( 23 % ) and Canada ( 20 % ) are top partners.","Among Americans, 36 % choose the United Kingdom as the most or second - most important foreign policy partner. Roughly two - in - ten say China ( 23 % ) and Canada ( 20 % ) are top partners, but Germany is chosen by only 13 %.",Gold Standard,BART
117,2798,"More Republicans than Democrats view ISIS – as well as Iran, China, and other concerns - as ‘major threats’","what is the reason More Republicans than Democrats view ISIS – as well as Iran, China, and other concerns - as ‘major threats’?",dataset/images/2798.png,"Notably , more than nine - in - ten Republicans ( 93 % ) cite ISIS as a major threat , compared with 79 % of Democrats .","more than nine - in - ten Republicans ( 93 % ) cite ISIS as a major threat, compared with 79 % of Democrats.","more than nine - in - ten Republicans ( 93 % ) cite ISIS as a major threat, compared with 79 % of Democrats.",Gold Standard,BART
118,3246,Median Age of The Daily Show Viewers,Describe the age range which collects news from different sources ?,dataset/images/3246.png,"The median age of Web - using adults who got news from The Daily Show was 36 years last year , similar to that of its then - companion show",The Daily Show attracts a much younger news consumer than cable and network news shows. The median age of Web - using adults who got news from The Daily Show was 36 years last year,"The median age of Web - using adults who got news from The Daily Show was 36 years last year. This is much younger than for other television news shows, both on cable and broadcast networks, including the network evening news programs and cable news shows like O’Reilly, Anderson Cooper 360 and the Rachel Maddow Show.",BART,Gold Standard
119,1092,Party and education play significant role in views of U.S.-China economic ties.,Describe the proportion of Americans who think economic relations between the US and China are bad?,dataset/images/1092.png,"Today , just over half of Americans ( 53 % ) believe current economic ties between the U.S. and China are bad","Today, just over half of Americans ( 53 % ) believe current economic ties between the U.S. and China are bad. Fewer ( 41 % ) think economic relations between the two nations are good, with just 2 % of American adults saying ties are very good.","Today, just over half of Americans ( 53 % ) believe current economic ties between the U.S. and China are bad. Fewer ( 41 % ) think economic relations between the two nations are good.",Gold Standard,BART
120,6004,"Changing Reactions to a Gay Child Ifyou had a child who told you he or she was gay or lesbian, what would your reaction be?",How has the public's reactions to a gay child changed?,dataset/images/6004.png,"nine - in - ten American adults ( 89 % ) said they would be upset if this happened , and just 9 % said they would not be . But views of homosexuality have shifted over time , and today nearly six - in - ten ( 57 % ) say they would not be upset if they had a child come out as gay or lesbian","three decades ago, most Americans felt it would be troubling to have a child tell them he or she was gay : In a 1985 Los Angeles Times survey, nine - in - ten American adults ( 89 % ) said they would be upset if this happened. But views of homosexuality have shifted over time, and today nearly six - In - ten ( 57 % ) say they would not be upset when they had a child come out as gay or lesbian.","Three decades ago, most Americans felt it would be troubling to have a child tell them he or she was gay : In a 1985 Los Angeles Times survey, nine - in - ten American adults ( 89 % ) said they would be upset if this happened, and just 9 % said they",Gold Standard,T5
121,3821,"What Entertainment) Public Figures, If Any, First Come to Mind Who Are Gay or Lesbian? Percent of general public respondents naming... Ellen De Generes Jason Collins",What is the reference of the LGBT public when asked about a LGBT artist or public figure?,dataset/images/3821.png,Jason Collins was the second - most frequently mentioned gay or lesbian public figure . 38 % said they could n’t name any gay or lesbian entertainers or public figures .,"It ’s worth noting, though, that almost four - in - ten Americans ( 38 % ) said they could n’t name any gay or lesbian entertainers or public figures, including 61 % of people age 65 and older.",almost four - in - ten Americans ( 38 % ) said they could n’t name any gay or lesbian entertainers or public figures.,Gold Standard,T5
122,3745,Youth from 2008 Engagement Down Sharply from 2008 Engagement Given Quite a Lotof Thought to Election Following Campaign News Very Closely Definitely Plan to Vote This Year,How is the situation on engagement of young voters in the 2012 election?,dataset/images/3745.png,The share of voters younger than 30 who are following campaign news very closely is 18 % .,Young voters are significantly less engaged in this year ’s election than at a comparable point in 2008 and now lag far behind older voters.,"Young voters are significantly less engaged in this year ’s election than at a comparable point in 2008 and now lag far behind older voters in interest in the campaign and intention to vote. The share of voters younger than 30 who are following campaign news very closely is roughly half what it was at this point four years ago ( 18 %, down from 35 % )",Gold Standard,T5
123,3968,Neg ative Characteristics Associated with Muslims (Non-Mus lim Respondents) Positive Characteristics Ass ociated with Muslims,What are opinions about the negative and positive characteristics associated with Muslims?,dataset/images/3968.png,"The results show that many non - Muslims associate negative traits with Muslims . Majorities in Nigeria , India , Spain , Russia , and Germany see Muslims as violent . Large numbers , including majorities in India , Nigeria , and Russia , also consider Muslims arrogant . Many also associate selfishness with Muslims , although India is the only country where a majority does so . Non - Muslims are less likely to rate Muslims as greedy or immoral — in France for instance , only 10 % say Muslims are greedy and just 18 % label Muslims as immoral . The data on Muslim attitudes towards Westerners also reveal a variety of negative views . In the five majority Muslim countries , as well as Nigeria , at least 40 % of Muslims characterize Westerners as arrogant , violent , greedy , and immoral ; meanwhile , relatively few say Westerners are generous or honest . Muslims in these countries are also especially likely to say Westerners are selfish — in all six countries , majorities suggest selfishness is common among people in Europe and the United States . Negative assessments of Westerners are fairly common across all six of these countries , although they are slightly more prevalent in Jordan and Indonesia .","A majority of Muslims ( 59 % ) say they are honest, self - reliant, honest and honest.","Majorities in Nigeria, India, Spain, Russia, and Germany see Muslims as violent. Large numbers, including majorities in India, Nigeria, and Russia, also consider Muslims arrogant.",BART,T5
124,5028,Average Monthly Increase in Mexican- --oorn Population That Entered the U.S in 1990 for Later. 2004 to 2007,Describe the trend in Mexican born population entering US?,dataset/images/5028.png,The trend line slopes up more steeply in 2004 and 2005 than in 2006 . It shows a broad trend of increasing growth from the last quarter of 2004 through the second quarter of 2006 and a flattening of the growth rate since then .,Applying this technique to monthly data and quarterly population averages as well as to three - month rolling averages produces similar results : The trend line slopes up more steeply in 2004 and 2005 than in 2006.1 It shows a broad trend of increasing growth from the last quarter of 2004 through the second quarter of 2006 and a flattening of the growth rate since then.,Applying this technique to monthly data and quarterly population averages as well as to three - month rolling averages produces similar results : The trend line slopes up more steeply in 2004 and 2005 than in 2006.,BART,T5
125,7531,Midte rm Election Poll Accuracy (Gallup & Pew election weekend LV estimates),Compare the election pre/post poll with the actual outcome?,dataset/images/7531.png,"The Gallup Organization has tracked voter preferences in House races for more than half a century , and its final midterm election polls have consistently paralleled actual election results Indeed , on average , the final Gallup Poll has been within 1.1 % of the actual vote in 1994 both the Pew and Gallup surveys found a Republican majority in the popular vote for the first time in more than 40 years , foreshadowing that year ’s GOP takeover of the House",the final Gallup Poll has been within 1.1 % of the actual vote.,the final Gallup Poll has been within 1.1 % of the actual vote.,T5,Gold Standard
126,3393,"Estimated the ofU.S., China and the 2010 and 2050",How is India's population growth projection?,dataset/images/3393.png,India ’s population is expected to increase by 400 million by 2050 . Its projected population of 1.6 billion will be almost equal to the populations of the U.S. and China combined,India ’s population is expected to increase by 400 million by 2050. Its projected population of 1.6 billion. China is projected to add only 25 million residents.,Indian ’s population is expected to increase by 400 million by 2050. Its projected population of 1.6 billion will be almost equal to the populations of the U.S. and China combined. China is projected to add only 25 million residents,T5,Gold Standard
127,797,Majority of U.S. poll workers are over 60,How is the trend of poll workers in 2018?,dataset/images/797.png,"around six - in - ten U.S. poll workers ( 58 % ) were ages 61 and older , including roughly a quarter ( 27 % ) who were over 70","In the 2018 general election, around six - in - ten U.S. poll workers ( 58 % ) were ages 61 and older.","In the 2018 general election, around six - in - ten U.S. poll workers ( 58 % ) were ages 61 and older, including roughly a quarter ( 27 % ) who were over 70",T5,BART
128,2197,"Across educational groups, Republicans give colleges & universities low ratings % who say colleges and universities have a positive effect on the way things are going in the country",what are the views of partisans youth on colleges and university impact?,dataset/images/2197.png,"About half ( 52 % ) of Republicans ages 18 to 29 say colleges and universities have a positive impact on the country , compared with just 27 % of those 65 and older . By contrast , there are no significant differences in views among Democrats by age , with comparable majorities of all age groups saying colleges and universities have a positive impact .","About half ( 52 % ) of Republicans ages 18 to 29 say colleges and universities have a positive impact on the country, compared with just 27 % of those 65 and older","About half ( 52 % ) of Republicans ages 18 to 29 say colleges and universities have a positive impact on the country, compared with just 27 % of those 65 and older.",T5,Gold Standard
