number,id,title,question,img,Gold Standard,BART,T5,Summary 1,Summary 2
72,7603,News Interest vs. News Coverage September 16-21 Situation in Iraq 25,How much impact that the situation in Iraq news made among public?,dataset/images/7603.png,The Iraq war was the news story the public followed most closely last week . Nearly a third of the public ( 32 % ) followed news about the situation in Iraq very closely and 25 % listed this as the story they followed most closely . The percentage of Americans following the war has remained remarkably steady throughout the year The national news media devoted 10 % of its overall coverage to events in Iraq last week and 5 % to the Iraq policy debate 25 % followed the Iraq policy debate very closely and 9 % said this was the story they followed most closely,32 % followed news about the situation in Iraq very closely and 25 % listed this as the story they followed most closely.,Nearly a third of the public ( 32 % ) followed news about the situation in Iraq very closely and 25 % listed this as the story they followed most closely.,BART,T5
73,5637,"the majority of Democrats say global respect for U.S. has diminished and this is a major problem' % who say that, compared with the past, the U.S. is less respected by ooher countries these days compared -0 - Less respected and isa major problem",Tell some information about Large majority of Democrats say global respect for U.S?,dataset/images/5637.png,"Even at various points when Obama was in office , majorities of Democrats viewed the U.S. as less respected internationally ; 58 % said this last year . But now , 87 % of Democrats and Democratic leaners say the U.S. is less respected than in the past , with 70 % saying this is a major problem .","Even at various points when Obama was in office, majorities of Democrats viewed the U.S. as less respected internationally ; 58 % said this last year. But now, 87 % of Democrats and Democratic leaners say the U.-S. is less respected than in the past, with 70 % saying this is a major problem","But now, 87 % of Democrats and Democratic leaners say the U.S. is less respected than in the past, with 70 % saying this is a major problem.",T5,Gold Standard
74,4939,Americans' views of UN relatively stable % of Americans who say they have a(n) view of the United Nations 100%,How do americans view the UN?,dataset/images/4939.png,"Americans are more favorable toward the UN than not : 62 % have a positive view , while 31 % have a negative view . The U.S. public ’s views of the organization have been relatively consistent in recent years . Still , there has been a large upward shift in approval from 2007 , when 48 % of Americans had a favorable view of the UN .","Americans are more favorable toward the UN than not : 62 % have a positive view. Still, there has been a large upward shift in approval from 2007, when 48 % of Americans had a favorable view of the UN",Americans are more favorable toward the UN than not : 62 % have a positive view.,Gold Standard,BART
75,6594,"State Statening Local Gap in Governments Views of Federal,","Describe the general public opinion about the local, state and federal governments.",dataset/images/6594.png,63 % of people said they had a favorable opinion of their local government ; 57 % expressed favorable views of their state government . But just 28 % rated the federal government favorably .,"In a Pew Research Center survey conducted in March, 63 % of people said they had a favorable opinion of their local government, a level that ’s stayed fairly constant over several years ; 57 % expressed favorable views of their state government. But just 28 % rated the federal government favorably.","63 % of people said they had a favorable opinion of their local government, a level that ’s stayed fairly constant over several years ; 57 % expressed favorable views of their state government.",BART,Gold Standard
76,5713,Revenue continues to rise for cable channels Projected annual revenue in USS dollars $5 billion,Explain the current status of podcast audience in U.S compared to 2010?,dataset/images/5713.png,"About one - in - five U.S. adults ages 12 or older ( 21 % ) listened to some kind of podcast in the past month , up from 12 % six years ago , and 36 % have ever listened to a podcast , up from 23 % in 2010 . Though the audience ( and revenue ) for podcasts is only a small portion of that for radio , streaming radio has been growing as well , with the share who listened to online radio ( whether news or non - news ) in the past month more than doubling since 2010 , from 27 % to 57 % . This growth has n’t necessarily cannibalized the audience for traditional radio , however ; 91 % of those ages 12 and older listened to terrestrial radio in the past month . When it comes to news radio in particular , NPR ’s flagship news programs each have around 12 million listeners . ( This is roughly half of the average viewership of the three nightly TV network newscasts , which together attracted about 24 million viewers in 2015 . )","Cable channels gained economically as well, with annual revenue for the three major channels ( Fox News Channel, CNN and MSNBC ) projected to rise 10 %, to $ 4 billion.","When it comes to news radio in particular, NPR ’s flagship news programs each have around 12 million listeners. ( This is roughly half of the average viewership of the three nightly TV network newscasts, which together attracted about 24 million viewers in 2015",BART,T5
77,6973,News Interest vs. News Coverage Economy,How was public attention divided between the economy and the presidential elections?,dataset/images/6973.png,Three - in - ten ( 30 % ) say they followed news about the economy more closely than any other story . Somewhat fewer ( 23 % ) cited the presidential campaign as their top story .,"The economy was the public ’s top story last week Three - in - ten ( 30 % ) say they followed news about the economy more closely than any other story. Somewhat fewer ( 23 % ) cited the presidential campaign as their top story. News about the presidential election topped news coverage, accounting for 23 % of the newshole.",Three - in - ten ( 30 % ) say they followed news about the economy more closely than any other story. Somewhat fewer ( 23 % ) cited the presidential campaign as their top story.,T5,Gold Standard
78,1690,"Eight-in-ten U.S. Muslims say they fast during Ramadan Do you fast during the holy month of Ramadan, or not?",Describe the Ramadan's celebration habits in the U.S.,dataset/images/1690.png,"In the United States , the vast majority of Muslims celebrate Ramadan , with eight - in - ten saying they fast during the holiday . Fasting for Ramadan is common across all the demographic groups that make up America ’s 2.15 million Muslim adults . For instance , similar shares of Muslim men and women ( 77 % vs. 82 % ) say they fast , and there is little difference between Muslims who were born in the U.S. and immigrants ( 79 % vs. 80 % ) .","In the United States, the vast majority of Muslims celebrate Ramadan, with eight - in - ten saying they fast during the holiday.","In the United States, the vast majority of Muslims celebrate Ramadan, with eight - in - ten saying they fast during the holiday.",T5,BART
79,595,Three-quarters say they’re comfortable going to the grocery store; few comfortable attending a party,What activities does U.S. adults think about doing comfortably during coronavirus outbreak ?,dataset/images/595.png,"A majority ( 75 % ) says they feel comfortable going to the grocery store given the current situation with the coronavirus outbreak , and about two - thirds ( 65 % ) say they are comfortable visiting with a close friend or family member inside their home . Just over half ( 53 % ) are comfortable going to a hair salon or barbershop",About two - thirds ( 65 % ) say they are comfortable visiting with a close friend or family member inside their home. Just over half ( 53 % ) are comfortable going to a hair salon or barbershop.,"A majority ( 75 % ) says they feel comfortable going to the grocery store given the current situation with the coronavirus outbreak, and about two - thirds ( 65 % ) say they are comfortable visiting with a close friend or family member inside their home.",BART,Gold Standard
80,6246,U.S. per capita trade deficit with Germany has outpaced that with China,Describe the trade deficit of U.S with Germany and China.,dataset/images/6246.png,"Germany has a $ 912 per capita trade advantage with the U.S. ( total deficit divided by Germany ’s total population ) , compared with China ’s $ 266 per capita imbalance .","Germany has a $ 912 per capita trade advantage with the U.S., compared with China ’s $ 266 per capita imbalance.","Germany has a $ 912 per capita trade advantage with the U.S., compared with China ’s $ 266 per capita imbalance.",T5,Gold Standard
81,6007,"Younger Americans More Likely to Younger Prioritize Alternative Energy priorityfor % of U.S. adults saying... essing should be the more important priorityfor faddr saying... essing America's energy supply Alternative energy so urces such as wind, solar Expand production of oil, coal, natura gas",Comment on the importance of alternative energy sources as described by U.S. adults from different age groups.,dataset/images/6007.png,"48 % of those 65 and older favor alternative energy , compared with 74 % of those under the age of 30 .","When asked which should be a more important priority – alternative energy sources, such as wind or solar, or expanding production of oil, coal and natural gas – 48 % of those 65 and older favor alternative energy. Older adults also express greater support for offshore drilling and nuclear power.","When asked which should be a more important priority – alternative energy sources, such as wind or solar, or expanding production of oil, coal and natural gas – 48 % of those 65 and older favor alternative energy. Older adults also express greater support for offshore drilling and nuclear power.",Gold Standard,BART
82,5662,Children of immigrants from the former Soviet Union more religious than their parents % of Israeli Jews who say they... FSU immigrants FSU second generation All Isra eli Jews Believe in God Always light Always light Keep kosher at Keep kosher,What are some opinions about Children of immigrants from the former Soviet Union more religious than their parents?,dataset/images/5662.png,"For example , children of FSU immigrants are more likely than their parents to believe in God ( 70 % vs. 55 % ) .","For example, children of FSU immigrants are more likely than their parents to believe in God ( 70 % vs. 55 % ). Only 60 % of second - generation FSU Jews say they are Hiloni ( secular ), compared with 81 % of first - generation immigrants who say so.",children of FSU immigrants are more likely than their parents to believe in God ( 70 % vs. 55 % ). Only 60 % of second - generation FSU Jews say they are Hiloni ( secular ).,T5,Gold Standard
83,3091,"Nearly All Scientists Talk with the Public; A Sizable Share Use Social Media, Blogs",What's the scientists' role when it comes to scientific knowledge spreading?,dataset/images/3091.png,"In addition , nearly half of AAAS scientists – 47 % – use social media to talk about science or read about scientific developments at least some of the time . Some 24 % of these AAAS scientists blog about science and research .",nearly half of AAAS scientists – 47 % – use social media to talk about science or read about scientific developments at least some of the time. Some 24 % of these AAAS science scientists blog about science and research.,nearly half of AAAS scientists – 47 % – use social media to talk about science or read about scientific developments at least some of the time.,BART,Gold Standard
84,2745,"Most Americans Say Science and Religion Conflict, But Fewer Say Their Own Beliefs Conflict With Science",What opinions do most Americans have about religious beliefs?,dataset/images/2745.png,"Less than one - third of Americans polled in the new survey ( 30 % ) say their personal religious beliefs conflict with science , while fully two - thirds ( 68 % ) say there is no conflict between their own beliefs and science .",Less than one - third of Americans polled in the new survey ( 30 % ) say their personal religious beliefs conflict with science.,Less than one - third of Americans polled in the new survey ( 30 % ) say their personal religious beliefs conflict with science.,T5,Gold Standard
85,6250,"Religious Affiliation, by Hispanic Origin Group",Compare the prevalence of Catholics among different Hispanic origin groups.,dataset/images/6250.png,"Mexicans and Dominicans are more likely than most other Hispanic origin groups to say they are Catholic . About six - in - ten Mexicans ( 61 % ) and Dominicans ( 59 % ) identify as Catholic , compared with about 49 % of Cubans , 45 % of Puerto Ricans and 42 % of Salvadorans .","About six - in - ten Mexicans ( 61 % ) and Dominicans ( 59 % ) identify as Catholic, compared with about 49 % of Cubans, 45 % of Puerto Ricans and 42 % of Salvadorans.","The share of Latino adults who identify as Catholic is declining as the share of Protestants and the religiously unaffiliated rise. Today, 55 % of Latinos say they are Catholic.",T5,Gold Standard
86,7260,News Interest vs News Coverage Haiti 47 Campaign ads,"How is public attention divided between news about Haiti, healthcare and the Scott Brown election?",dataset/images/7260.png,"47 % say they followed news about Haiti more closely than any other story . 18 % say they followed news about the debate over health care reform most closely , while 14 % say they most closely followed news about Republican Scott Brown ’s win in the race for the late Democrat Ted Kennedy ’s U.S. Senate seat .","Nearly half ( 47 % ) say they followed news about Haiti more closely than any other story. Almost two - in - ten ( 18 % ) says they followed the debate over health care reform most closely, while 14 % say they most closely followed news About Republican Scott Brown ’s win.",Nearly half ( 47 % ) say they followed news about Haiti more closely than any other story.,BART,T5
87,4939,Americans' views of UN relatively stable % of Americans who say they have a(n) view of the United Nations 100%,How do americans view the UN?,dataset/images/4939.png,"Americans are more favorable toward the UN than not : 62 % have a positive view , while 31 % have a negative view . The U.S. public ’s views of the organization have been relatively consistent in recent years . Still , there has been a large upward shift in approval from 2007 , when 48 % of Americans had a favorable view of the UN .","Americans are more favorable toward the UN than not : 62 % have a positive view. Still, there has been a large upward shift in approval from 2007, when 48 % of Americans had a favorable view of the UN",Americans are more favorable toward the UN than not : 62 % have a positive view.,BART,T5
88,2684,Republicans and Older Americans More Negative toward China,What opinions the partisans have about about China?,dataset/images/2684.png,"More than six - in - ten Republicans ( 63 % ) give China an unfavorable rating , compared with 51 % of independents and 50 % of Democrats .","More than six - in - ten Republicans ( 63 % ) give China an unfavorable rating, compared with 51 % of independents and 50 % of Democrats. Negative assessments of China are also more common among older Americans. Fully 64 % of those ages 50 and older have a negative opinion, while just 39 % hold this view among people under age 30.","More than six - in - ten Republicans ( 63 % ) give China an unfavorable rating, compared with 51 % of independents and 50 % of Democrats. Negative assessments of China are also more common among older Americans. Fully 64 % of those ages 50 and older have a negative opinion, while just 39 % hold this view among people under age 30",BART,T5
89,5784,Americans are more likely to read for the purpose of researching a specific topic or interest than five years ago % of USS adults who ever read,How can the act of reading for specific topic research be described among the north american people over the years?,dataset/images/5784.png,"the share of Americans who read in order to research specific topics of interest has increased by 10 - percentage points over that time frame , from 74 % to 84 %","the share of Americans who read in order to research specific topics of interest has increased by 10 - percentage points over that time frame, from 74 % to 84 %.","the share of Americans who read in order to research specific topics of interest has increased by 10 - percentage points over that time frame, from 74 % to 84 %.",T5,Gold Standard
90,5046,Percent of News Coverage Devoted to Iraq,Write some information about drop in News Coverage devoted to Iraq?,dataset/images/5046.png,"the percentage of news stories devoted to the war has sharply declined since last year , dropping to just 3 % in February .","the percentage of news stories devoted to the war has sharply declined since last year, dropping from an average of 15 % of the newshole in July to just 3 % in February.","the percentage of news stories devoted to the war has sharply declined since last year, dropping from an average of 15 % of the newshole in July to just 3 % in February.",Gold Standard,T5
91,2684,Republicans and Older Americans More Negative toward China,What opinions the partisans have about about China?,dataset/images/2684.png,"More than six - in - ten Republicans ( 63 % ) give China an unfavorable rating , compared with 51 % of independents and 50 % of Democrats .","More than six - in - ten Republicans ( 63 % ) give China an unfavorable rating, compared with 51 % of independents and 50 % of Democrats. Negative assessments of China are also more common among older Americans. Fully 64 % of those ages 50 and older have a negative opinion, while just 39 % hold this view among people under age 30.","More than six - in - ten Republicans ( 63 % ) give China an unfavorable rating, compared with 51 % of independents and 50 % of Democrats. Negative assessments of China are also more common among older Americans. Fully 64 % of those ages 50 and older have a negative opinion, while just 39 % hold this view among people under age 30",Gold Standard,BART
92,5557,Prominent senators in both parties drive relationship between ideology and Facebook followers USS Senate by estimated ideology and number of Facebook followers Warren,What are some opinions about Prominent senators in both parties drive relationship between Ideology and Facebook followers?,dataset/images/5557.png,"In the Senate , the overall pattern of ideology predicting Facebook followers is largely driven by a small number of prominent members in both parties , including Democrat Bernie Sanders of Vermont , Texas Republican Ted Cruz , Massachusetts Democrat Elizabeth Warren , Kentucky Republican Rand Paul , Utah Republican Mike Lee and Minnesota Democrat Al Franken . Sanders , Cruz and Paul all ran for president in 2016 . Arizona Republican John McCain , who had more than 1 million followers , ran for president in 2008 . It ’s not clear exactly why more - ideological members have more page followers than moderates . But a February Pew Research Center analysis of Facebook posts shared by members of the previous Congress found that very liberal or conservative lawmakers were more likely to share content that expressed indignation or disagreement on political matters , and that such posts drew more engagement online .","In the Senate, the overall pattern of ideology predicting Facebook followers is largely driven by a small number of prominent members in both parties, including Democrat Bernie Sanders of Vermont, Texas Republican Ted Cruz, Massachusetts Democrat Elizabeth Warren, Kentucky Republican Rand Paul, Utah Republican Mike Lee and Minnesota Democrat Al Franken","In the Senate, the overall pattern of ideology predicting Facebook followers is largely driven by a small number of prominent members in both parties. Sanders, Cruz and Paul all ran for president in 2016.",BART,T5
93,2392,"-Cold' views of other party S members, frigid views of its presidential candidate Mean thermometer ratings Republicans Among Republicans Among",Describe how Democrats feel towards Clinton?,dataset/images/2392.png,"Democrats feel warmly toward Clinton . Democrats give her an average rating of 73 on a 0 - to-100 “ feeling thermometer , ” where 100 is the warmest , most positive rating and zero the coldest , most negative .","Democrats feel warmly toward Clinton, while Republican views of her are very cold. Hillary Clinton is a polarizing figure in U.S. politics. In a survey conducted this spring, Democrats give her an average rating of 73 on a 0 - to-100 “ feeling thermometer, ” where 100 is the warmest, most positive rating and zero the coldest","Democrats feel warmly toward Clinton, while Republican views of her are very cold. Hillary Clinton is a polarizing figure in U.S. politics. In a survey conducted this spring, Democrats give her an average rating of 73 on a 0 - to-100 “ feeling thermometer, ” where 100 is the warmest, most positive rating and zero the coldest, most negative. Republicans, on the other hand, say her anaverage rating of 12, and 59 % give her a zero on the scale.",BART,Gold Standard
94,2206,U.S. and most Asia-Pacific publics have negative views of North Korea Views of North Korea,What are views of North Korea in Asia-Pacific countries and US?,dataset/images/2206.png,"Many people in Asia - Pacific countries have negative views of North Korea . Among the countries surveyed , the Japanese are most negative on North Korea : 94 % say they have an unfavorable view . In Australia , the U.S. and South Korea , roughly three - quarters or more say they have unfavorable views . Across the region , only Filipinos have a generally positive view of North Korea , with more than half ( 53 % ) holding a favorable view .","Many people in Asia - Pacific countries have negative views of North Korea. Among the countries surveyed, the Japanese are most negative on North Korea : 94 % say they have an unfavorable view. In Australia, the U.S. and South Korea. Across the region, only Filipinos have a generally positive view of North Korean, with more than half ( 53 % ) holding a favorable view","Many people in Asia - Pacific countries have negative views of North Korea. Among the countries surveyed, the Japanese are most negative on North Korea : 94 % say they have an unfavorable view. In Australia, the U.S. and South Korea, roughly three - quarters or more say they has unfavorable views. Across the region, only Filipinos have a generally positive view of North Korean, with more than half ( 53 % ) holding a favorable view.",Gold Standard,T5
95,1690,"Eight-in-ten U.S. Muslims say they fast during Ramadan Do you fast during the holy month of Ramadan, or not?",Describe the Ramadan's celebration habits in the U.S.,dataset/images/1690.png,"In the United States , the vast majority of Muslims celebrate Ramadan , with eight - in - ten saying they fast during the holiday . Fasting for Ramadan is common across all the demographic groups that make up America ’s 2.15 million Muslim adults . For instance , similar shares of Muslim men and women ( 77 % vs. 82 % ) say they fast , and there is little difference between Muslims who were born in the U.S. and immigrants ( 79 % vs. 80 % ) .","In the United States, the vast majority of Muslims celebrate Ramadan, with eight - in - ten saying they fast during the holiday.","In the United States, the vast majority of Muslims celebrate Ramadan, with eight - in - ten saying they fast during the holiday.",Gold Standard,T5
96,6246,U.S. per capita trade deficit with Germany has outpaced that with China,Describe the trade deficit of U.S with Germany and China.,dataset/images/6246.png,"Germany has a $ 912 per capita trade advantage with the U.S. ( total deficit divided by Germany ’s total population ) , compared with China ’s $ 266 per capita imbalance .","Germany has a $ 912 per capita trade advantage with the U.S., compared with China ’s $ 266 per capita imbalance.","Germany has a $ 912 per capita trade advantage with the U.S., compared with China ’s $ 266 per capita imbalance.",BART,Gold Standard
97,4089,News Interest vs. News Coverage Health care reform 36 Swine flu 14,What is the difference of media coverage of the health care reform debate and any other news?,dataset/images/4089.png,"The debate over health care reform got more media coverage than any other story , taking up 17 % of the newshole analyzed by the Pew Research Center ’s Project for Excellence in Journalism . That was down from 32 % of coverage the previous week when Obama delivered his address to Congress . The president also continued to be the top newsmaker as measured by PEJ","The debate over health care reform got more media coverage than any other story, taking up 17 % of the newshole analyzed by the Pew Research Center ’s Project for Excellence in Journalism. That was down from 32 % of coverage the previous week when Obama delivered his address to Congress.","36 % say it was the story they followed most closely last week, more than double the percentage for any other major story.",T5,BART
98,5637,"the majority of Democrats say global respect for U.S. has diminished and this is a major problem' % who say that, compared with the past, the U.S. is less respected by ooher countries these days compared -0 - Less respected and isa major problem",Tell some information about Large majority of Democrats say global respect for U.S?,dataset/images/5637.png,"Even at various points when Obama was in office , majorities of Democrats viewed the U.S. as less respected internationally ; 58 % said this last year . But now , 87 % of Democrats and Democratic leaners say the U.S. is less respected than in the past , with 70 % saying this is a major problem .","Even at various points when Obama was in office, majorities of Democrats viewed the U.S. as less respected internationally ; 58 % said this last year. But now, 87 % of Democrats and Democratic leaners say the U.-S. is less respected than in the past, with 70 % saying this is a major problem","But now, 87 % of Democrats and Democratic leaners say the U.S. is less respected than in the past, with 70 % saying this is a major problem.",Gold Standard,BART
99,6845,Gun Views Remain Divided More important to Control gun ownership,What are American's views on gun ownership?,dataset/images/6845.png,"there is no significant change in public views on the issue of gun control and gun rights . Currently , 49 % of Americans say it is more important to protect the right of Americans to own guns , while 46 % say it is more important to control gun ownership . In 2010 , 50 % prioritized gun control , 46 % gun rights . In this regard , there is no sign that the longer trend toward an emphasis on gun owners ’ rights has abated .","In the wake of the Tucson shootings, there is no significant change in public views on the issue of gun control and gun rights. Currently, 49 % of Americans say it is more important to protect the right of Americans to own guns. In September 2010, 50 % prioritized gun control, 46 % gun rights","Currently, 49 % of Americans say it is more important to protect the right of Americans to own guns. In September 2010, 50 % prioritized gun control, 46 % gun rights.",Gold Standard,T5
100,3336,It Is More Important to Have Strong Ties with,What percentage of Nigerians consider ties with China as more important in comparison to U.S.?,dataset/images/3336.png,"In Nigeria , 37 % say a strong relationship with China is more important , compared with just 17 % who say this about the U.S.","In Nigeria, 37 % say a strong relationship with China is more important, compared with just 17 % who say this about the U.S.","In Nigeria, 37 % say a strong relationship with China is more important, compared with just 17 % who say this about the U.S.",Gold Standard,T5
101,5477,About four-in-ten U.S. intermarried couples include one Hispanic and one white spouse % of 'opposite- sex newlywed intermarried couples that include each combination White/American Indian 3% Hispanic/ Black 5% White/ Black 11% White/ Asian 15% White/Hispanic 42%,Describe the trend in ethnic pairing of intermarried couples in U.S. ?,dataset/images/5477.png,"The most common racial or ethnic pairing among newlywed intermarried couples is one Hispanic and one white spouse ( 42 % ) . The next most common intermarriage pairings are one white and one Asian spouse ( 15 % ) . Some 12 % of newlywed intermarried couples include one white and one multiracial spouse , and 11 % include one white and one black spouse .",The most common racial or ethnic pairing among newlywed intermarried couples is one Hispanic and one white spouse ( 42 % ). The next most common intermarriage pairings are one white and one Asian spouse ( 15 % ),The most common racial or ethnic pairing among newlywed intermarried couples is one Hispanic and one white spouse ( 42 % ).,BART,T5
102,3331,"Group Nativity among U.S. Latinos, by Age Group Nativity (%)",How is the growth of the Latino population among natives younger than 18?,dataset/images/3331.png,"among Latinos younger than 18 , 93 % were born in the U.S.","Among Latinos younger than 18, 93 % were born in the U.S.","among Latinos younger than 18, 93 % were born in the U.S.",Gold Standard,T5
103,6089,FIGURE3 Salvadoran Religious Affiliation % of adults who belong to each,Describe Salvadoran religious affiliations.,dataset/images/6089.png,about four - in - ten Salvadorans ( 42 % ) identify themselves as Catholic . Some 37 % of Salvadorans are Protestant . Some 15 % of Salvadoran adults are religiously unaffiliated .,"about four - in - ten Salvadorans ( 42 % ) identify themselves as Catholic. Some 37 % of Salvadorans are Protestant, and among all Salvadorans, only 5 % are mainline Protestants and 32 % are evangelical Protestants.","about four - in - ten Salvadorans ( 42 % ) identify themselves as Catholic. Some 37 % of Salvadorans are Protestant, and among all Salvadorans, only 5 % are mainline Protestants and 32 % are evangelical Protestants.",BART,T5
104,424,Majority of parents say their child 11 or younger watches videos on YouTube,Describe the trend among parents about their children watching videos on youtube?,dataset/images/424.png,"Fully 89 % of parents of a child age 5 to 11 say their child watches videos on YouTube , as do 81 % of those who have a child age 3 to 4 and 57 % of those who have child age 2 or younger .",YouTube has emerged as a key platform for both younger and older kids. Fully 89 % of parents of a child age 5 to 11 say their child watches videos on YouTube.,Fully 89 % of parents of a child age 5 to 11 say their child watches videos on YouTube.,Gold Standard,T5
105,5277,G7 countries' fertility rates have been historically lower than global rates Number of projected lifetime births per woman (total fertility rate),Compare the fertility rate of the G7 nations and the rest of the world during 1970-1975.,dataset/images/5277.png,"At that time , the global fertility rate was 4.47 projected lifetime births per woman , but 2.03 among G7 nations .","The biggest gap occurred during 1970 - 1975, when the group of leading industrial nations was established. At that time, the global fertility rate was 4.47 projected lifetime births per woman, but 2.03 among G7 nations.","The biggest gap occurred during 1970 - 1975. At that time, the global fertility rate was 4.47 projected lifetime births per woman, but 2.03 among G7 nations.",BART,T5
106,6849,News Interest,Which story did the public followed most closely and which subject was also in the great interest of people?,dataset/images/6849.png,"While the protests in Egypt and winter storms were the stories the public says they followed most closely , many also continued to keep a close watch on economic news . About a third ( 35 % ) say they followed economic news very closely . Only about one - in - ten ( 9 % ) say they followed news about the economy more closely than any other maj0r story last week .","While the protests in Egypt and winter storms were the stories the public says they followed most closely, many also continued to keep a close watch on economic news. About a third ( 35 % ) say they followed economic news very closely.","While the protests in Egypt and winter storms were the stories the public says they followed most closely, many also continued to keep a close watch on economic news. About a third ( 35 % ) say they followed economic news very closely.",T5,BART
107,6496,Voters Paying Less Attention to Presidential Race Than Eight Years Ago in 2016,Compare partisan voters' attention to the candidates over the years.,dataset/images/6496.png,"Today , Democrats , Republicans , and independents are about equally likely to say they have given thought to 2016 candidates . In March 2007 , Democratic voters were somewhat more attentive to the election than their Republican counterparts ( 71 % said they had given it at least some thought , compared with 64 % of GOP voters ) .","In March 2007, Democratic voters were somewhat more attentive to the election than their Republican counterparts ( 71 % said they had given it at least some thought, compared with 64 % of GOP voters ).","In March 2007, Democratic voters were somewhat more attentive to the election than their Republican counterparts ( 71 % said they had given it at least some thought, compared with 64 % of GOP voters ).",T5,BART
108,5662,Children of immigrants from the former Soviet Union more religious than their parents % of Israeli Jews who say they... FSU immigrants FSU second generation All Isra eli Jews Believe in God Always light Always light Keep kosher at Keep kosher,What are some opinions about Children of immigrants from the former Soviet Union more religious than their parents?,dataset/images/5662.png,"For example , children of FSU immigrants are more likely than their parents to believe in God ( 70 % vs. 55 % ) .","For example, children of FSU immigrants are more likely than their parents to believe in God ( 70 % vs. 55 % ). Only 60 % of second - generation FSU Jews say they are Hiloni ( secular ), compared with 81 % of first - generation immigrants who say so.",children of FSU immigrants are more likely than their parents to believe in God ( 70 % vs. 55 % ). Only 60 % of second - generation FSU Jews say they are Hiloni ( secular ).,T5,BART
109,6069,Downward Trend in Pena Nieto Favorability Views of Enrique Pena Nieto,Describe Peña Nieto popularity level over the years.,dataset/images/6069.png,"President Peña Nieto ’s popularity has declined over the past year . Just 44 % express a favorable opinion of him , down 7 percentage points since 2014 and down 12 points from 2012 .",President Peña Nieto ’s popularity has declined over the past year. Just 44 % express a favorable opinion of him.,"President Peña Nieto ’s popularity has declined over the past year. Just 44 % express a favorable opinion of him, down 7 percentage points since 2014 and down 12 points from a spring 2012 poll.",T5,BART
110,742,Many Americans believe customer reviews and ratings improve consumer experiences % ofU.S. adults who say customer reviews and ratings help,How is the trend among Americans about the beneficial effect of ratings and ratings?,dataset/images/742.png,"Majorities say reviews have at least a somewhat positive effect on consumer confidence ( 88 % think they help a lot or some ) , product safety ( 80 % ) and company accountability ( 78 % ) .","Majorities say reviews have at least a somewhat positive effect on consumer confidence ( 88 % think they help a lot or some ), product safety ( 80 % ) and company accountability ( 78 % ).","Americans have confidence that reviews and ratings can be beneficial : Majorities say reviews have at least a somewhat positive effect on consumer confidence ( 88 % think they help a lot or some ), product safety ( 80 % ) and company accountability ( 78 % ).",T5,BART
111,7260,News Interest vs News Coverage Haiti 47 Campaign ads,"How is public attention divided between news about Haiti, healthcare and the Scott Brown election?",dataset/images/7260.png,"47 % say they followed news about Haiti more closely than any other story . 18 % say they followed news about the debate over health care reform most closely , while 14 % say they most closely followed news about Republican Scott Brown ’s win in the race for the late Democrat Ted Kennedy ’s U.S. Senate seat .","Nearly half ( 47 % ) say they followed news about Haiti more closely than any other story. Almost two - in - ten ( 18 % ) says they followed the debate over health care reform most closely, while 14 % say they most closely followed news About Republican Scott Brown ’s win.",Nearly half ( 47 % ) say they followed news about Haiti more closely than any other story.,T5,Gold Standard
112,5465,"Most seniors say they need help using new electronic devices % of USS adults who say the statement, When Igeta it up or show me how to use it, describes them vvery or somewhat well, by age",Comment on the barriers faced by the elderly in using electronic devices.,dataset/images/5465.png,"48 % of seniors say that this statement describes them very well : “ When I get a new electronic device , I usually need someone else to set it up or show me how to use it . ”","Some 34 % of older internet users say they have little to no confidence in their ability to use electronic devices to perform online tasks, while 48 % of seniors say that this statement describes them very well : “ When I get a new electronic device, I usually need someone else to set it up or show me how to use it. ”","Some 34 % of older internet users say they have little to no confidence in their ability to use electronic devices to perform online tasks, while 48 % of seniors say that this statement describes them very well : “ When I get a new electronic device, I usually need someone else to set it up or show me how to use it. ”",T5,BART
113,869,"Most in Taiwan identify as Taiwanese, but there are large partisan differences",What is the opinion of Taiwanese about the identifying as Chinese and Taiwanese?,dataset/images/869.png,about three - in - ten ( 28 % ) see themselves as both Taiwanese and Chinese,about three - in - ten ( 28 % ) see themselves as both Taiwanese and Chinese.,"Seventy years after the end of the Chinese Civil War, about two - thirds of adults in Taiwan identify as just Taiwanese. On the other hand, about three - in - ten ( 28 % ) see themselves as both Taiwanese and Chinese.",T5,BART
114,3336,It Is More Important to Have Strong Ties with,What percentage of Nigerians consider ties with China as more important in comparison to U.S.?,dataset/images/3336.png,"In Nigeria , 37 % say a strong relationship with China is more important , compared with just 17 % who say this about the U.S.","In Nigeria, 37 % say a strong relationship with China is more important, compared with just 17 % who say this about the U.S.","In Nigeria, 37 % say a strong relationship with China is more important, compared with just 17 % who say this about the U.S.",Gold Standard,BART
115,5251,Women make up nearly half of the labor force; share will remain steady in coming decades Male and female share of the U.S. labor force (%,Describe the trend in the number of women in the labor force.,dataset/images/5251.png,"Women make up 47 % of the U.S. labor force , up from 30 % in 1950 – but growth has stagnated . The share of women in the labor force generally grew throughout the second half of the 20th century , but it has since leveled off","Women make up 47 % of the U.S. labor force, up from 30 % in 1950 – but growth has stagnated.","Women make up 47 % of the U.S. labor force, up from 30 % in 1950 – but growth has stagnated.",Gold Standard,T5
